"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"HOU","WAR","264634","Wilko Wire Coat Hangers 10pk","Wilko",NA,"White","10pk",NA,0.883333333333333
"HOU","WAR","273493","Wilko Velvet Coat Hangers 5pk","Wilko","5 Pack","Black","5","Plastic and Wire",1
"HOU","WAR","327962","Wilko Wooden Coat Hangers 5pk","Wilko",NA,"Cream","5pk","Wood",0.941666666666667
"HOU","WAR","327965","Wilko Trouser Hanger Velvet Covered Black 2pk","Wilko","2 Pack","Black","2","Velvet",1
"HOU","WAR","327966","Wilko Scarf Hanger Velvet Black","Wilko",NA,"Black","1",NA,0.883333333333333
"HOU","WAR","327967","Wilko Necklace Hanger Velvet Black","Wilko",NA,"Black","1",NA,0.883333333333333
"HOU","WAR","327969","Wilko Rubber Coated Coat Hangers Assorted 6pk","Wilko",NA,"Multi","6","Plastic and Wire",0.941666666666667
"HOU","WAR","328353","Wilko Wooden Coat Hangers White 5pk","Wilko",NA,"White","5","Wood",0.941666666666667
"HOU","WAR","329089","Wilko Wooden Mahogany Coat Hangers 5pk","Wilko",NA,"Wood","5","Wood",0.941666666666667
"HOU","WAR","417446","Wilko Wooden Skirt Hangers 3pk","Wilko",NA,NA,"3","Wood",0.883333333333333
"HOU","WAR","417447","Wilko Skirt Hangers with Rubber Tipped Clasps 6pk","Wilko",NA,NA,"6","Plastic and Wire",0.883333333333333
"KIT","BAP","328775","Wilko Daisy Icing Plunge Cutters 4pk","Wilko","4 Pack","White","1",NA,1
"KIT","BAP","328777","Wilko Butterfly Icing Sugar Cutters Set 3 Piece","Wilko","Assorted","White","3pk",NA,1
"KIT","BAP","328815","Wilko Cake Decorating Turntable 28cm","Wilko","28cm","White","1",NA,1
"KIT","BAP","36546","Wilko Metal Whisk 20cm","Wilko","20cm","Silver","1",NA,1
"KIT","BAP","435785","Wilko Silicone Chocolate Mould","Wilko",NA,NA,"1",NA,0.8
"KIT","BAP","435786","Wilko Flower Cookie Cutter","Wilko",NA,NA,"1",NA,0.86
"KIT","BAP","435787","Wilko Shaped Cooker Cutter","Wilko",NA,NA,"1",NA,0.86
"KIT","CUT","627740","Wilko Functional Glass Salt Pot","Wilko Functional",NA,"Clear","1",NA,0.93
"KIT","CUT","629840","Wilko Functional Pepper Shaker","Wilko Functional",NA,NA,"1",NA,0.86
"KIT","DIN","317902","Wilko Wooden Chopping Board Heart Shaped","Wilko","Single","Wood","1",NA,1
"KIT","GAD","112512","Wilko Kitchen Poachette Ring 2pk","Wilko","Set","Grey","1",NA,0.941666666666667
"KIT","GAD","140141","Wilko Skewers Metal 4pk","Wilko","4 Pack",NA,"1",NA,0.883333333333333
"KIT","GAD","140809","Wilko Corn on the Cob Forks 4pk","Wilko",NA,"Yellow","3pk",NA,0.883333333333333
"KIT","GAD","188598","Wilko Kitchen Shears","Wilko",NA,NA,"1",NA,0.825
"KIT","GAD","188600","Wilko Digital Timer","Wilko",NA,NA,"1",NA,0.825
"KIT","GAD","222255","Wilko Fridge and Freezer Thermometer","Wilko","15x2cm","Clear","1",NA,0.941666666666667
"KIT","GAD","262783","Wilko Apple Corer","Wilko",NA,"Green","1",NA,0.883333333333333
"KIT","GAD","284774","Wilko Traditional Ice Cream Scoop Stainless Steel","Wilko",NA,"Silver","1",NA,0.883333333333333
"KIT","GAD","284881","Wilko Grater Box 6 Sides","Wilko",NA,"Cream","1",NA,0.883333333333333
"KIT","GAD","304464","Wilko Knifeholder Magnetic 30cm","Wilko","30cm","Black","1",NA,0.941666666666667
"KIT","GAD","304483","Wilko Bottle Stopper 2pk","Wilko","2 Pack","Multi","1",NA,0.9
"KIT","GAD","304832","Wilko Corkscrew Chrome Effect","Wilko",NA,"Metal","1",NA,0.85
"KIT","GAD","317397","Wilko Hanging Rack","Wilko",NA,"Pink","1",NA,0.883333333333333
"KIT","GAD","317898","Wilko Grater with Container Taupe/Silver Effect","Wilko",NA,"Cream","1",NA,0.883333333333333
"KIT","GAD","317900","Wilko Stainless Steel Whisk","Wilko",NA,"Pink","1",NA,0.883333333333333
"KIT","GAD","318176","Wilko Vegetable Steamer Stainless Steel","Wilko",NA,"Pink","1",NA,0.883333333333333
"KIT","GAD","319549","Wilko Knife Sharpener Black","Wilko",NA,"Black","1",NA,0.883333333333333
"KIT","GAD","319550","Wilko Corkscrew Silver","Wilko",NA,"Pink","1",NA,0.85
"KIT","GAD","319570","Wilko Meat Thermometer","Wilko",NA,"Pink","1",NA,0.883333333333333
"KIT","GAD","335040","Wilko Strainer Metal 19.5cm","Wilko","19cm","Pink","1",NA,0.941666666666667
"KIT","GAD","336140","Wilko Kitchen Tea Strainer Metal 7cm","Wilko","7cm","Multi","1",NA,1
"KIT","GAD","378240","Wilko Egg Slicer White","Wilko",NA,"White","1",NA,0.883333333333333
"KIT","GAD","435737","Wilko Colourplay Utility Knife Red","Wilko",NA,NA,"1",NA,0.825
