"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Age","Model Number","DQ Score"
"XMD","GEN","439051","Wilko Rustic Glow Glitter Baubles 4pk Soft Gold","Wilko","80mm","Gold","4","Plastic","No",NA,NA,"CE3384-95A4",0.65
"XMD","GEN","439055","Wilko Nordic Country Encapsulated FoliageChristmas Bauble","Wilko","80mm","Red","1","Plastic","No",NA,NA,"CE4031-151S1",0.65
"XMD","GEN","439056","Wilko Rustic Glow Mini Christmas Baubles 34pk","Wilko","30mm","Red","34","Plastic","No",NA,NA,NA,0.65
"XMD","GEN","439059","Wilko Starry Night Onion Christmas Baubles 6pkGold","Wilko","4 x 4x 4.5cm","Gold","6","Plastic","No",NA,NA,"CL3253-10A6D",0.65
"XMD","GEN","439063","Wilko Nordic Country Star Christmas Tree TopperRed Glitter","Wilko","26 x 21 x 4.5cm","Red","1","Wire","No",NA,NA,"CJ6013-02B1W1",0.65
"XMD","GEN","439072","Wilko Nordic Country Mini Christmas Baubles 34pk","Wilko","30mm","Red","34","Plastic","No",NA,NA,NA,0.65
"XMD","LIG","439080","Wilko Rustic Glow Battery Operated LED Light UpWooden Xmas Ornament","Wilko","14.5 x 47 x 7cm","Brown","1","Wood","No","2 x AA Included",NA,"CT5416-06L",0.65
"XMD","TRE","401916","Wilko 2ft Christmas Tree with Cones And Berries","Wilko","2ft","Green","1","PVC","No",NA,NA,NA,0.65
"XMD","TRE","420651","Wilko 6ft Pop Up Christmas Tree with Lights","Wilko","6ft",NA,"1","PVC","Yes","Battery Operated",NA,"WLK15034",0.65
"XMD","TRE","439078","Wilko 45cm Jute Wrapped Christmas Tree","Wilko","45 x 25cm","Green","1","Jute","No",NA,NA,"TD215/58MB",0.65
