"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"SBK","ADH","299456","Wilko String Ball 40m","Wilko","40m","Multi","1",NA,NA,NA,1
"SBK","ADH","300216","Wilko Writing Pad Lined White 100 Sheets 80GSM","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","ADH","300217","Wilko Writing Pad Plain White 100 Sheets 80GSM","Wilko","100 Sheets",NA,NA,NA,NA,NA,0.9125
"SBK","ADU","433042","Wilko Black Scrapbook 30 x 30cm 250gsm 20 Sheets","Wilko",NA,"Black","1",NA,NA,NA,1
"SBK","ADU","433043","Wilko Black Scrapbook 8 x 8in 250gsm 20 Sheets","Wilko",NA,"Black","1",NA,NA,NA,1
"SBK","ADU","433050","Wilko Let's Create Craft Glue Strip 7m","Wilko",NA,"Multi","1","Plastic",NA,NA,0.941666666666667
"SBK","ADU","433051","Wilko Let's Create Glue Dots 200pk","Wilko",NA,"Multi","1","Plastic",NA,NA,0.941666666666667
"SBK","ADU","433052","Wilko Document Wallet A3 Clear","Wilko","A3","Clear","1","Plastic",NA,NA,1
"SBK","COM","240549","Wilko CD Wallet Clear 50 Pack","Wilko",NA,"Clear","50","Plastic","No",NA,0.65
"SBK","COO","427346","Wilko I Like Cats One Line A Day Diary","Wilko","2.3 x 8 x 11cm",NA,"1",NA,NA,NA,1
"SBK","COO","427347","Wilko I Like Cats Small Round Mirror","Wilko","0.4 x 7.5 x 7.5cm",NA,"1",NA,NA,NA,0.93
"SBK","COO","427348","Wilko I Like Cats Cat Head Whiteboard","Wilko","1.3 x 34 x 35.5cm",NA,"1",NA,NA,NA,1
"SBK","COO","427350","Wilko I Like Cats Push Pins 16pk","Wilko",NA,NA,"16",NA,NA,NA,0.86
"SBK","COO","427351","Wilko I Like Cats Index Clips","Wilko","1.8 x 3.6cm",NA,"1",NA,NA,NA,0.93
"SBK","COO","427355","Wilko I Like Cats Pens 3pk","Wilko","1.1 x 13.7cm",NA,"3",NA,NA,NA,1
"SBK","COO","427361","Wilko I Like Cats A7 Notebooks","Wilko","A7",NA,"1",NA,NA,NA,1
"SBK","COO","427371","Wilko I Like Cats A4 Display Book","Wilko","A4",NA,"1",NA,NA,NA,1
"SBK","COO","427372","Wilko I Like Cats Padfolio","Wilko","1.8 x 23.5 x 32cm",NA,"1","Paper",NA,NA,0.941666666666667
"SBK","COO","427380","Wilko I Like Cats A4 Home Box File","Wilko","12 x 35.5 x 24.7cm",NA,"1","Paper",NA,NA,0.941666666666667
"SBK","COO","430691","Wilko I Like Cats Stationery Set","Wilko",NA,NA,"1",NA,NA,NA,0.86
"SBK","COO","445257","Wilko Enterprising Britain Pen","Wilko","2.6 x 3.6 x 16.6cm","Multi","1","Metal","No",NA,0.65
"SBK","COO","445258","Wilko Enterprising Britain Mini Colouring Pencils10pk","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445263","Wilko Enterprising Britain 2 Drawer Storage","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445265","Wilko Enterprising Britain Sticky Notes Set","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445266","Wilko Enterprising Britain A6 Organiser","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445275","Wilko Enterprising Britain Jotter Notebook","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","450781","Wilko Unearthed Phrase Pencils 5pk","Wilko","15cm","Multi","5","Wood, Graphite","No",NA,0.65
"SBK","COO","450782","Wilko Unearthed Ringbinder A4","Wilko","A4","Multi","1","Paper, Greyboard","No",NA,0.65
"SBK","COO","450783","Wilko Unearthed Lever Arch","Wilko","A4","Multi","1","Paper, Greyboard","No",NA,0.65
"SBK","COO","450785","Wilko Unearthed Mini Stationery Set 7pk","Wilko","Assorted","Multi","7","Plastic, Metal","No",NA,0.65
"SBK","COO","450786","Wilko Unearthed A4 Display Book","Wilko","A4","Multi","1","Plastic","No",NA,0.65
"SBK","COO","450805","Wilko Unearthed Pens 3pk","Wilko","15cm","Multi","3","Plastic","No",NA,0.65
"SBK","COO","457002","Wilko Decelerate Ringbinder Assorted Colours","Wilko","4 x 24.8 x 31.6cm","Multi","1","paper, metal","No",NA,0.65
"SBK","COO","457004","Wilko Decelerate Pen Pot","Wilko",NA,"Gold","1","metal","No",NA,0.65
"SBK","COO","457005","Wilko Decelerate Lever Arch File Assorted Colours","Wilko","7.0 x 28.6 x 31.5cm","Multi","1","paper, metal","No",NA,0.65
"SBK","COO","457006","Wilko Decelerate Zipper Wallet","Wilko","26.5 x 33cm","Multi","1","plastic","No",NA,0.65
"SBK","COO","457007","Wilko Decelerate Fineliners 10pk","Wilko",NA,"Multi","10","plastic, ink","No",NA,0.65
"SBK","DES","230121","Wilko Geometry Set","Wilko","8 pack",NA,"8",NA,NA,NA,1
"SBK","DES","260312","Wilko Wooden Pencils HB 10pk","Wilko",NA,NA,"10pk",NA,NA,NA,0.86
"SBK","DES","260315","Wilko Mechanical Pencils Assorted Colours 10pk","Wilko",NA,"Multi","10pk",NA,NA,NA,0.93
"SBK","DES","260326","Wilko Chunky Highlighters 4pk","Wilko",NA,"Multi","4pk",NA,NA,NA,0.93
"SBK","DES","260327","Wilko Slim Highlights 4pk","Wilko",NA,"Multi","4pk",NA,NA,NA,0.93
"SBK","DES","260395","Wilko Marker Chunky Permanent Black 4pk","Wilko",NA,"Black","4pk",NA,NA,NA,0.93
"SBK","DES","260396","Wilko Permanent Marker Black","Wilko",NA,"Black","1",NA,NA,NA,0.93
"SBK","DES","260398","Wilko Chunky Permanent Marker Mix 4pk","Wilko",NA,"Multi","4pk",NA,NA,NA,0.93
"SBK","DES","260403","Wilko Dry Wipe Slim Mixed Colours 4pk","Wilko",NA,"Multi","4pk",NA,NA,NA,0.93
"SBK","DES","260404","Wilko Pen Dry Eraser Chunky Assorted 4pk","Wilko",NA,"Multi","4pk",NA,NA,NA,0.93
"SBK","DES","260410","Wilko Retractable Ball Pens Black 5pk","Wilko","Fine","Black","5pk",NA,NA,NA,1
"SBK","DES","260411","Wilko Retractable Ball Pens Blue 5pk","Wilko","Fine","Blue","5pk",NA,NA,NA,1
"SBK","DES","260412","Wilko Retractable Ball Pens Assorted Colours 5pk","Wilko","Fine","Multi","5pk",NA,NA,NA,1
"SBK","DES","260511","Wilko Ball Point Pen with 4 Colours","Wilko",NA,"Multi","4pk",NA,NA,NA,0.93
"SBK","DES","260515","Wilko Gel Pens Assorted Colours 5pk","Wilko","Fine","Multi","5pk",NA,NA,NA,1
"SBK","DES","260516","Wilko Metallic Gel Pens Gold/Silver 2pk","Wilko","Fine","Multi","2pk",NA,NA,NA,1
"SBK","DES","260517","Wilko Gel Pens Fine Black 5pk","Wilko","Fine",NA,"5pk",NA,NA,NA,0.93
"SBK","DES","260521","Wilko Pen Gel Fine Blue 5pk","Wilko","Fine","Blue","4pk",NA,NA,NA,1
"SBK","DES","260522","Wilko Gel Pen Assorted Colours 5pk","Wilko","Fine","Multi","5pk",NA,NA,NA,1
"SBK","DES","260525","Wilko Fineliner Pen Black 5pk","Wilko",NA,"Black","5pk",NA,NA,NA,0.93
"SBK","DES","260550","Wilko Mechanical Pencil Refil","Wilko","0.7mm",NA,"2pk",NA,NA,NA,0.93
