"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Age","DQ Score"
"TOY","CRE","454754","Harry Potter Cluedo","Harry Potter","1","8 years+",0.883333333333333
"TOY","CRE","454755","Game of Thrones Cluedo","Hasbro","1","8 years+",0.783333333333333
"TOY","GAM","448596","Harry Potter Trivial Pursuit","Harry Potter","1","8+",0.883333333333333
"TOY","GAM","448590","Game Of Thrones Monopoly","Monopoly","1","18+",0.883333333333333
"TOY","GAM","448591","Disney Classic Monopoly","Monopoly","1","8+",0.883333333333333
"TOY","GAM","448593","Pokemon Monopoly","Monopoly","1","4+",0.883333333333333
"TOY","GAM","448594","Disney Princess Top Trumps Match","Top Trumps",NA,NA,0.766666666666667
"TOY","GAM","448595","Star Wars Top Trumps Quiz","Top Trumps","1","8+",0.883333333333333
"TOY","GAM","448601","Star Wars Top Trumps","Top Trumps","1","3+",0.883333333333333
"TOY","GAM","448602","Shopkins Top Trumps","Top Trumps","1","3+",0.883333333333333
"TOY","GAM","448603","Minions Top Trumps","Top Trumps","1","3+",0.883333333333333
"TOY","GAM","448605","Paw Patrol Top Trumps","Top Trumps","1","3+",0.883333333333333
"TOY","GAM","448606","Marvel Universe Top Trumps","Top Trumps","1","3+",0.883333333333333
"TOY","GAM","448607","My Little Pony Top Trumps","Top Trumps",NA,NA,0.766666666666667
