"PSA_1","PSA_2","Article","Web Description","Brand","Size","Power","Model Number","DQ Score"
"HOU","SWE","453878","Hoover Whirlwind Bagless Upright Vacuum Cleaner750w WR71WR01","Hoover",NA,"750w","39100460",0.833333333333333
"HOU","SWE","453884","Hoover Whirlwind Bagless Cylinder Vacuum Cleaner700w SE71WR01","Hoover",NA,"700w","SE71WR01",0.833333333333333
"HOU","SWE","453889","Hoover Free Motion Cordless 2 in 1 Vacuum CleanerBagless 14.4V","Hoover","110 x 28.5 x 16.5 cm (H x W x D)","14.4V NiMH","FM144B2",0.891666666666667
"HOU","SWE","454750","Hoover Capture Bagged Compact Cylinder VacuumCleaner 700w BV71CP10","Hoover",NA,"700w","BV71CP10",0.833333333333333
