"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Age","DQ Score"
"TOY","POC","320772","Wilko Play Squishy Lizard Assortment","Wilko",NA,"3+",0.825
"TOY","POC","447838","Wilko Wind Up Speed Boat","Wilko","1","3+ Years",0.883333333333333
