"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Assembly","DQ Score"
"GAR","SUN","413542","Palram Skylight Amber Shed 6 x 3","Palram","6 x 3","Brown",NA,"Yes",1
"GAR","SUN","413543","Palram Skylight Amber Garden Shed 4 x 6","Palram","186L x 125W x 201.5H","Brown",NA,"Yes",1
"GAR","SUN","413544","Palram Skylight Amber Shed 6 x 5","Palram","6 x 5","Brown",NA,"Yes",1
"GAR","SUN","413545","Palram Skylight Amber Shed 6 x 8","Palram","6 x 8","Brown",NA,"Yes",1
"GAR","SUN","413546","Palram Skylight Amber Shed 6 x 10","Palram","6 x 10","Brown",NA,"Yes",1
"GAR","SUN","435709","Palram Skylight Shed Anthracite 6 x 3","Palram","6 x 3",NA,NA,"Yes",0.93
"GAR","SUN","435710","Palram Skylight Shed Anthracite 4 x 6","Palram","4 x 6",NA,NA,"Yes",0.93
"GAR","SUN","435711","Palram Skylight Shed Anthracite 6 x 5","Palram","6 x 5",NA,NA,"Yes",0.93
"GAR","SUN","435712","Palram Skylight Shed Anthracite 6 x 8","Palram","6 x 8",NA,NA,"Yes",0.93
"GAR","SUN","435713","Palram Skylight Shed Anthracite 6 x 10","Palram","6 x 10",NA,NA,"Yes",0.93
"GAR","TRA","413531","Palram Balance Greenhouse Silver 8x12","Palram","8x12",NA," Aluminium polycarbonate plastic","Yes",1
"GAR","TRA","413532","Palram Victory Orangery Greenhouse 12x10","Palram","12x10",NA," Aluminium polycarbonate plastic","Yes",1
"GAR","TRA","413533","Palram Mythos Greenhouse Silver 6x4","Palram","126L x 185W x 208H",NA," Aluminium polycarbonate plastic","Yes",1
"GAR","TRA","413534","Palram Mythos Greenhouse Silver 6x6","Palram","186L x 185W x 208H",NA," Aluminium polycarbonate plastic","Yes",1
"GAR","TRA","413535","Palram Mythos Greenhouse Silver 6x8","Palram","247L x 185W x 208H",NA," Aluminium polycarbonate plastic","Yes",1
"GAR","TRA","413536","Palram Mythos  Greenhouse Silver 6x10","Palram","306L x 185W x 208H",NA," Aluminium polycarbonate plastic","Yes",1
"GAR","TRA","435718","Palram Aluminium Greenhouse Window Auto Vent Arm","Palram","40W x 7L x 5H cm",NA,"Aluminium","Yes",1
"GAR","TRA","435721","Palram Greenhouse Side Louver Window","Palram","H 62cm x Wi 62cm x 6cm Thickness. 62cm Window",NA,"Aluminium","Yes",1
"GAR","TRA","pr00001","Palram Polycarbonate Greenhouse Green 6x4","Palram","6ft x 4ft","Green",NA,"Yes",1
"GAR","TRA","pr00002","Palram Polycarbonate Greenhouse Green 6x6","Palram","6ft x 6ft",NA,"Aluminium frame, Polycarbonate panels","Yes",1
"GAR","TRA","pr00003","Palram Polycarbonate Greenhouse Green 6x8ft","Palram","6ft x 8ft",NA,"Aluminium frame, Polycarbonate panels","Yes",1
"GAR","TRA","pr00004","Palram Polycarbonate Greenhouse Green 6x10","Palram","6ft x 10ft",NA,"Aluminium frame, Polycarbonate panels","Yes",1
"GAR","TRA","pr00005","Palram Polycarbonate Greenhouse Aluminium 6x10","Palram","6ft x 10ft",NA,"Aluminium frame, Polycarbonate panels","Yes",1
"GAR","TRA","pr00008","Palram Polycarbonate Greenhouse Silver Effect 6x6","Palram","6ft x 6ft",NA,"Aluminium frame, Polycarbonate panels","Yes",1
"GAR","TRA","pr00009","Palram Polycarbonate Greenhouse Silver Effect 6x8","Palram","6ft x 8ft",NA,"Aluminium frame, Polycarbonate panels","Yes",1
