"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"TOY","SST","453823","Whirlwind Trampoline and Enclosure 8ft","Whirlwind","8ft","Multi","1","Metal","No","6+ Years",0.65
"TOY","SST","453824","Whirlwind Trampoline and Enclosure 10ft","Whirlwind","10ft","Multi","1","Metal","No","6+ Years",0.65
