"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Age","DQ Score"
"SBK","KID","453380","Wilko A4 White Card 210gsm","Wilko","21 X 30 X 0.01 CM","White","1",NA,1
"SBK","KID","453381","Wilko A4 Black Card 210gsm","Wilko","21 X 30 X 0.01 CM","Black","1",NA,1
"SBK","KID","453382","Wilko A4 Vivid Red Card 210gsm","Wilko","21 X 30 X 0.01 CM","Red","1",NA,1
"SBK","KID","453383","Wilko Vivid Orange Card A4 210gsm","Wilko","21 X 30 X 0.01 CM","Orange","1",NA,1
"SBK","KID","453384","Wilko A4 Vivid Yellow Card 210gsm","Wilko","21 X 30 X 0.01 CM","Yellow","1",NA,1
"SBK","KID","453385","Wilko A4 Vivid Green Card 210gsm","Wilko","21 X 30 X 0.01 CM","Green","1",NA,1
"SBK","KID","453386","Wilko A4 Vivid Blue Card 210gsm","Wilko","21 X 30 X 0.01 CM","Blue","1",NA,1
"SBK","KID","453387","Wilko A3 White Card 210gsm","Wilko","30 X 42 X 0.01 CM","White","1",NA,1
"SBK","KID","453388","Wilko A3 Black Card 210gsm","Wilko","30 X 42 X 0.01 CM","Black","1",NA,1
"SBK","KID","453389","Wilko A3 Vivid Red 210gsm","Wilko","30 X 42 X 0.01 CM","Red","1",NA,1
"SBK","KID","453390","Wilko A3 Vivid Orange 210gsm","Wilko","30 X 42 X 0.01 CM","Orange","1",NA,1
"SBK","KID","453391","Wilko A3 Vivid Yellow 210gsm","Wilko","30 X 42 X 0.01 CM","Yellow","1",NA,1
"SBK","KID","453392","Wilko A3 Vivid Green 210gsm","Wilko","30 X 42 X 0.01 CM","Green","1",NA,1
"SBK","KID","453393","Wilko A3 Vivid Blue 210gsm","Wilko","30 X 42 X 0.01 CM","Blue","1",NA,1
"SBK","KID","453394","Wilko A2 White Card 210gsm","Wilko","42 X 60 X 0.01 CM","White","1",NA,1
"SBK","KID","453395","Wilko A2 Black Card 210gsm","Wilko","42 X 60 X 0.01 CM","Black","1",NA,1
"SBK","KID","453396","Wilko A2 Vivid Red Card 210gsm","Wilko","42 X 60 X 0.01 CM","Red","1",NA,1
"SBK","KID","453397","Wilko A2 Vivid Orange Card 210gsm","Wilko","42 X 60 X 0.01 CM","Orange","1",NA,1
"SBK","KID","453398","Wilko A2 Vivid Yellow Card 210gsm","Wilko","42 X 60 X 0.01 CM","Yellow","1",NA,1
"SBK","KID","453399","Wilko A2 Vivid Green Card 210gsm","Wilko","42 X 60 X 0.01 CM","Green","1",NA,1
"SBK","KID","453400","Wilko A2 Vivid Blue Card 210gsm","Wilko","42 X 60 X 0.01 CM","Blue","1",NA,1
"SBK","KID","453757","Wilko reward Sticker pack","Wilko",NA,"Multi","1000","3+",1
