"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"DIY","MOT","323209","Triplewax Waterless  Wash and Shine 1L","Triplewax","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","11545","Wilko L Plates 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","MOT","132876","Wilko Maintenance Spray 200ml","Wilko","200ml",NA,NA,NA,"No",NA,NA,NA,NA,NA,0.65
"DIY","MOT","198901","Wilko Alloy Wheel Cleaner 500ml","Wilko","500ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","198910","Wilko Liquid Polish 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","MOT","198950","Wilko Clean Glass 500ml","Wilko","500ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","323204","Jumbo Luggage Elastic Light Duty Yellow 45cm","Wilko","18in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","MOT","323205","Jumbo Luggage Elastic Light Duty Blue 60cm","Wilko","24in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","MOT","323206","Jumbo Luggage Elastic Light Duty Green 80cm","Wilko","32in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","MOT","323207","Auto Care Luggage Elastics 60cm","Wilko","60cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DIY","MOT","324578","Wilko Extra Strength Screenwash 1L","Wilko","1L",NA,"1",NA,"No",NA,"1L",NA,NA,NA,0.65
"DIY","MOT","345023","Wilko Tyre Shine 500ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","345024","Wilko Bumper and Trim Shine 500ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","345031","Wilko Dashboard Shine 500ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","345039","Wilko Fabric Cleaner 500ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","345041","Wilko Leather Cleaner 500ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","345057","Wilko Waterless Wash Wax 500ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","345452","Wilko Fast Wax 500ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","4232140","Wilko Handy Oil 125ml","Wilko","125ml",NA,NA,NA,"No",NA,NA,NA,NA,NA,0.65
"DIY","MOT","73308","Wilko Wash and Wax Car Shampoo 1L","Wilko","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","75858","Wilko All Seasons Concentrated Screen Wash 1L","Wilko","1L",NA,NA,NA,"No",NA,NA,NA,NA,NA,0.65
"DIY","MOT","99474","Wilko Ready to Use Screenwash 5L","Wilko","5L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","450607","Wonder Wheels Wheel Sealant 300ml","Wonder Wheels",NA,NA,"1pk",NA,NA,NA,NA,NA,NA,NA,0.86
