"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"CLE","LAU","333369","Wilko Oxi Plus Stain Remover 1kg","Wilko","1kg",NA,0.9125
"CLE","LAU","438813","Wilko Fabric Freshener Exotic Ylang andFreesia 750ml","Wilko","750ml","1",1
"CLE","SUR","340934","Astonish Pro Cleaning Paste 500g","Astonish","500g","1",1
"CLE","SUR","333216","Wilko Shower Cleaner Sea Minerals and Water Lilly750ml","Wilko","750ml",NA,0.9125
"CLE","SUR","333217","Wilko Mould and Mildew Remover 750ml","Wilko","750ml",NA,0.9125
"CLE","SUR","333219","Wilko Bathroom Cleaner Sea Minerals & Water Lily750ml","Wilko","750ml",NA,0.9125
"CLE","SUR","333344","Wilko Cleaner Stainless Steel Clear 750ml","Wilko","750ml",NA,0.9125
"CLE","SUR","334402","Wilko Window Cleaner 750ml","Wilko","750ml","1",1
"CLE","SUR","437981","Wilko Fuji Apple and Apricot Multi SurfaceSpray 750ml","Wilko","750ml","1",1
"CLE","SUR","438089","Wilko Carpet Stain Remover Spray 750ml","Wilko","750ml","1",1
"CLE","SUR","439011","Wilko Antibacterial Cleaner Spray 750ml","Wilko","750ml","1",1
"CLE","SUR","439012","Wilko Muti Purpose Lemon and MandarinKitchen Cleaner 750ml","Wilko","750ml","1",1
