"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"TOY","COL","335980","Wilko Play Farm Animals Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","336383","Wilko Play Dinosaurs Small Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","336385","Wilko Play Jungle Animals Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","336386","Wilko Play Horses Assortment","Wilko","Multi","1","3 Years +",0.9
"TOY","COL","336387","Wilko Play Knights Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","336388","Wilko Play Dragons Large Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","336390","Wilko Play Unicorns Assortment","Wilko","Multi","1","3 Years +",0.9
"TOY","COL","336391","Wilko Play Dinosaurs Large Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","416680","Wilko Play Heroic Knight Figure Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","416683","Wilko Play Pirate Figure Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","416691","Wilko Soft T-Rex Dinosaur","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","416692","Wilko Soft Apatosaurus Dinosaur","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","416693","Wilko Soft Pteradactyl Dinosaur","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","COL","438484","Wilko Dino Figures Mini 4pk Assortment","Wilko","Multi","4","3 Years +",0.941666666666667
"TOY","COL","438485","Wilko Dog Figures Mini 4pk Assortment","Wilko","Multi","4","3 Years +",0.941666666666667
"TOY","COL","438486","Wilko Cat Figures Mini 4pk Assortment","Wilko","Multi","4","3 Years +",0.941666666666667
"TOY","PRE","456596","Wilko Baby Dinosaurs Assorted","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","PRE","456597","Wilko Baby Jungle Animals Assorted","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","PRE","456598","Wilko Baby Farm Animals Assorted","Wilko","Multi","1","3 Years +",0.941666666666667
