"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Power","Age","DQ Score"
"TOY","FAN","448342","Bunchems Bugs Bestioles Creation Pack","Bunchems","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","FAN","448401","Bunchems Colour Booster Creation Pack","Bunchems","Multi","1",NA,"6 Years +",0.941666666666667
"TOY","FAN","456434","Hatchimals Colleggtible Blind Egg","Hatchimals","Multi","1",NA,"5 Years +",0.85
"TOY","FAN","456436","Hatchimals Colleggtible and Bonus Egg 4pk","Hatchimals","Multi","4",NA,"5+",0.85
"TOY","PRE","427495","Paw Patrol Action Pup and Badge Assortment","Paw Patrol","Multi","1",NA,"2 Years +",0.941666666666667
"TOY","PRE","427496","Paw Patrol Pup Racers Assortment","Paw Patrol","Multi","1",NA,"2 Years +",0.941666666666667
"TOY","PRE","427497","Paw Patrol Vehicle with Pup Assortment","Paw Patrol","Multi","1",NA,"2 Years +",0.941666666666667
"TOY","PRE","427498","Paw Patrol Plush Pup Pals Assortment","Paw Patrol","Multi","1",NA,"12 Months +",0.9
"TOY","PRE","439768","Paw Patrol Pup Squirters","Paw Patrol","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","PRE","448344","Paw Patrol Ryder's Pup Pad","Paw Patrol","Multi","1","2x AAA Batteries Included","3 Years +",1
"TOY","PRE","448345","Paw Patrol Mini Figures Assortment","Paw Patrol","Multi","1",NA,"3 Years +",0.941666666666667
