"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"SBK","COO","427412","Wilko I Like Cats Plastic Drinks Jar","Wilko","15.3 x 10cm",NA,"1",1
"XMD","WIN","119771","Wilko Adult Magic Gloves Black","Wilko","One Size","Black","1",1
