"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Coverage","DQ Score"
"DEC","FIL","127764","Wilko Decorator Exterior Filler Ready Mixed 330g","Wilko","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","158724","Wilko Wood Filler Flexible Ready Mixed Brown 1kg","Wilko","1kg",NA,"1",NA,NA,1
"DEC","FIL","158725","Wilko Wood Filler Flexible Ready Mixed Brown 330g","Wilko","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","215766","Wilko Ready Mix Quick Dry Filler 330g","Wilko","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","215767","Wilko Filler All-Purpose Flexible Ready Mixed 330g","Wilko","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","215768","Wilko Decorator Interior Filler Lightweight ReadyMixed 600ml","Wilko","600ml",NA,"1",NA,NA,1
"DEC","FIL","215770","Wilko Ready Mix Quick Dry Filler 1kg","Wilko","1kg",NA,"1",NA,NA,1
"DEC","FIL","3106440","Wilko Filler All Purpose Ready Mixed 600g","Wilko","600g",NA,NA,NA,NA,0.9125
"DEC","FIL","3112040","Wilko Fine Surface Filler 600g","Wilko","600g",NA,NA,NA,NA,0.9125
"DEC","FIL","3112340","Wilko Decorator All-Purpose Filler Ready Mixed 1kg","Wilko","1kg",NA,NA,NA,NA,0.9125
"DEC","FIL","3126940","Wilko Putty Multi-Purpose Linseed Oil 1kg","Wilko","1kg",NA,"1",NA,NA,1
"DEC","FIL","342401","Wilko All Purpose Powder Filler  1.5Kg","Wilko","1.5kg",NA,"1",NA,NA,1
"DEC","FIL","342402","Wilko Patching Plaster 1.5Kg","Wilko","1.5gk",NA,NA,NA,NA,0.9125
"DEC","FIL","342403","Wilko Exterior Powder  Filler 1.5Kg","Wilko","1.5kg",NA,NA,NA,NA,0.9125
"DEC","FIL","342404","Wilko Deep Gap Filler 1Ltr","Wilko","1L",NA,"2pk",NA,NA,1
"DEC","FIL","342733","Wilko Fungicidal Spray 500ml","Wilko","500ml",NA,"1",NA,NA,1
"DEC","FIL","49900","Wilko Filler All-Purpose Ready Mixed 330g","Wilko","330g",NA,"1",NA,NA,1
"DEC","FIL","77958","Wilko Ready Mix Fine Surface Filler 330g","Wilko","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","77959","Wilko Wood Filler Flexible Ready Mixed White 330g","Wilko","330g",NA,"1",NA,NA,1
"DEC","FIL","77960","Wilko Wood Filler Flexible Ready Mixed White 1kg","Wilko","1kg",NA,"1",NA,NA,1
"DEC","FIL","77961","Wilko Filler Ready Mixed Flexible 310ml","Wilko","310ml",NA,NA,NA,NA,0.9125
"DEC","PAS","157037","Wilko Wallpaper Stripper Concentrated 500ml","Wilko","500ml",NA,"1",NA,NA,0.85
"DEC","PAS","2780240","Wilko All Purpose Wallpaper Adhesive 5 rolls","Wilko",NA,NA,"5pk",NA,NA,0.8
"DEC","PAS","2780940","Wilko Decorator All-Purpose Wallpaper Adhesive","Wilko",NA,NA,"10pk",NA,NA,0.8
"DEC","PAS","341325","Wilko Ready Mixed Adhesive Wallcover 2.5Kg","Wilko","2.5kg",NA,NA,NA,NA,0.8
"DEC","PAS","341326","Wilko Ready Mixed Adhesive Wallcover 5Kg","Wilko","5kg",NA,NA,NA,NA,0.8
"DEC","PAS","49868","Wilko Border and Overlap Adhesive All Purpose Ready Mixed 250g","Wilko","250g",NA,"1",NA,"1.3m²",0.9
"DEC","PRP","315920","Bartoline Clean Spirit 750ml","Bartoline","750ml",NA,"1",NA,NA,1
"DEC","PRP","127762","Wilko Sugar Soap Ready To Use Trigger Gun 500ml","Wilko","500ml",NA,"1",NA,NA,0.85
"DEC","PRP","227026","Wilko Sugar Soap 500g","Wilko","500g",NA,"1",NA,NA,0.85
"DEC","PRP","2697940","Wilko Decorator Mineralised Methylated Spirit 500ml","Wilko","500ml",NA,NA,NA,NA,0.9125
"DEC","PRP","2698540","Wilko Turpentine Substitute 750ml","Wilko","750ml",NA,NA,NA,NA,0.9125
"DEC","PRP","2699140","Wilko Decorator White Spirit 750ml","Wilko","750ml",NA,NA,NA,NA,0.9125
"DEC","PRP","2699240","Wilko White Spirit 2L","Wilko","2L",NA,"1",NA,NA,1
"DEC","PRP","299049","Wilko Paint and Varnish Stripper All Purpose 500ml","Wilko","500ml",NA,NA,NA,NA,0.8
"DEC","PRP","454733","Wilko Sugar Soap Wipes 50pk","Wilko","19cm x 13cm",NA,"50pk","PP, Viscose non-woven fabric",NA,0.9
"DEC","PRP","60969","Wilko Paint Brush Cleaner 500ml","Wilko","500ml",NA,NA,NA,NA,0.9125
"DEC","PRP","66386","Wilko Sugar Soap Concentrated 500ml","Wilko","500ml",NA,NA,NA,NA,0.8
"GAR","WOO","210404","Wilko Teak Oil Bottle 1L","Wilko","1L","Clear","1",NA,NA,0.941666666666667
"GAR","WOO","278710","Wilko Light Creocote 4L","Wilko","4L","Clear","1",NA,"8m²",1
"GAR","WOO","278711","Wilko Dark Creocote 4L","Wilko","4L","Clear","1",NA,NA,0.941666666666667
"GAR","WOO","60973","Wilko Linseed Oil 500ml","Wilko","500ml","Clear","1",NA,NA,0.941666666666667
