"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","438141","Arthouse Wallpaper Tiffany Stripe White","Arthouse","10m x 0.53m","White","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438144","Arthouse Wallpaper Cosmos Charcoal","Arthouse","10m x 0.53m","Black","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438147","Arthouse Wallpaper Graffiti Red","Arthouse","10m x 0.53m","Red","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438148","Arthouse Wallpaper Denim Blue","Arthouse","10m x 0.53m","Blue","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438158","Arthouse Wallpaper Mitzu Duck Egg","Arthouse","10m x 0.53m","Blue","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438159","Arthouse Wallpaper Mitzu White","Arthouse","10m x 0.53m","White","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438169","Arthouse Wallpaper Glisten Gold","Arthouse","10m x 0.53m",NA,"1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","438171","Arthouse Wallpaper Glisten Platinum","Arthouse","10m x 0.53m","Metal","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438177","Arthouse Wallpaper Orabella Rose Gold","Arthouse","10m x 0.53m","Pink","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438191","Arthouse Wallpaper Cream Wave","Arthouse","10m x 0.53m","Cream","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438194","Arthouse Wallpaper Wave White","Arthouse","10m x 0.53m","White","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438203","Arthouse Wallpaper Pindorama Plum","Arthouse","10m x 0.53m","Purple","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438204","Arthouse Wallpaper Pindorama Navy","Arthouse","10m x 0.53m","Blue","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438209","Arthouse Wallpaper Brasillia Blue","Arthouse","10m x 0.53m","Blue","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438210","Arthouse Wallpaper Brasillia Grey","Arthouse","10m x 0.53m","Grey","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438218","Arthouse Wallpaper Copacobana Gold","Arthouse","10m x 0.53m","Gold","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","449722","Arthouse Wallpaper Tropical Palm","Arthouse","10.05m x 0.53m","Green","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449723","Arthouse Wallpaper Reign Pewter","Arthouse","10.05m x 0.53m","Silver","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449724","Arthouse Wallpaper White Wood","Arthouse","10.05m x 0.53m","White","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449730","Arthouse Wallpaper Montague Silver and White Stripe","Arthouse","10.05m x 0.53m","Silver","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449731","Arthouse Wallpaper Ashwood Silver","Arthouse","10.05m x 0.53m","Silver","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449732","Arthouse Wallpaper Chinese Garden Pink","Arthouse","10.05m x 0.53m","Pink","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449733","Arthouse Wallpaper Chinese Garden Yellow","Arthouse","10.05m x 0.53m","Yellow","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449734","Arthouse Wallpaper Cornish Stone","Arthouse","10.05m x 0.53m","Brown","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449735","Arthouse Wallpaper Fine and Dandy Teal","Arthouse","10.05m x 0.53m","Blue","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","449736","Arthouse Wallpaper Quartz Yellow","Arthouse","10.05m x 0.53m","Yellow","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","450113","Arthouse Wallpaper Rustic Heart Natural","Arthouse","10.05m x 0.53m","Multi","1","Paper",NA,"5.33m²",NA,0.95
