"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Washable","DQ Score"
"HOM","BED","424593","Wilko Brushed Cotton Fitted Sheet Single White","Wilko",NA,NA,"1",NA,NA,0.8
"HOM","BED","424594","Wilko Brushed Cotton Fitted Sheet Double White","Wilko",NA,NA,"1",NA,NA,0.8
"HOM","BED","424595","Wilko Brushed Cotton Fitted Sheet King Size White","Wilko",NA,NA,"1",NA,NA,0.8
"HOM","BED","424596","Wilko Brushed Cotton Housewife Pillowcases White2pk","Wilko",NA,NA,"1",NA,NA,0.8
"HOM","BED","424597","Wilko Fitted Sheet Brushed Cotton Single Cream","Wilko",NA,NA,"1","100% Brushed Cotton","Wash at 40",0.9
"HOM","BED","424598","Wilko Fitted Sheet Brushed Cotton Double Cream","Wilko",NA,NA,"1","100% Brushed Cotton",NA,0.85
"HOM","BED","424599","Wilko Fitted Sheet Brushed Cotton King Size Cream","Wilko",NA,NA,"1","100% Brushed Cotton",NA,0.85
"HOM","BED","424600","Wilko Housewife Pillowcase Brushed Cotton Cream2pk","Wilko",NA,NA,"1","100% Brushed Cotton",NA,0.85
"HOM","BED","424604","Wilko Brushed Cotton Housewife Pillowcase Pink2pk","Wilko",NA,NA,"1","100% Brushed Cotton",NA,0.85
"HOM","BED","424607","Wilko Brushed Cotton Fitted Sheet King Size Blue","Wilko",NA,NA,"1","100% Brushed Cotton",NA,0.85
"HOM","BED","326381","Wilko Functional Fitted Sheet Single","Wilko Functional","Single","Cream","1","52% Polyester, 48% Cotton","Washable",1
"HOM","BED","326382","Wilko Functional Fitted Sheet Double","Wilko Functional","Double","Cream","1","52% Polyester, 48% Cotton","Washable",1
"HOM","BED","326383","Wilko Functional Fitted Sheet King Size","Wilko Functional","Kingsize","White","1","52% Polyester, 48% Cotton","Washable",1
"HOM","BED","326384","Wilko Functional Housewife Pillowcases Cream 2pk","Wilko Functional","75x50cm","White","2pk","52% Polyester, 48% Cotton","Washable",1
"HOM","DUV","327253","Wilko Duvet Set Double Striped Naturals","Wilko","Double","Cream","1","52% Polyester, 48% Cotton","Washable",1
"HOM","DUV","327254","Wilko Duvet Set King Striped Naturals","Wilko","Kingsize","Cream",NA,"52% Polyester, 48% Cotton","Washable",0.95
"HOM","DUV","327429","Wilko Duvet Set Double Striped Green","Wilko","Double","Green","1","52% Polyester, 48% Cotton","Washable",1
"HOM","DUV","327430","Wilko Duvet Set King Striped Green","Wilko","Kingsize","Green","1","52% Polyester, 48% Cotton","Washable",1
"HOM","DUV","327454","Wilko Duvet Set Double Striped Blue","Wilko","Double","Blue",NA,"52% Polyester, 48% Cotton","Washable",0.95
"HOM","DUV","327455","Wilko Duvet Set King Striped Blue","Wilko","Kingsize","Blue",NA,"52% Polyester, 48% Cotton","Washable",0.95
"HOM","DUV","327502","Wilko Duvet Set Double Striped Purple","Wilko","Double","Pink",NA,"52% Polyester, 48% Cotton","Washable",0.95
"HOM","DUV","327503","Wilko Duvet Set King Striped Purple","Wilko","Kingsize","Pink",NA,"52% Polyester, 48% Cotton","Washable",0.95
"HOM","DUV","340634","Wilko Duvet Set Single Rose Design Grey","Wilko","Single","Grey",NA,NA,NA,0.93
"HOM","DUV","340635","Wilko Duvet Set Double Rose Design Grey","Wilko","Double","Grey","1",NA,NA,1
"HOM","DUV","340636","Wilko Duvet Set King Rose Design Grey","Wilko","King","Grey",NA,NA,NA,0.93
"HOM","DUV","426726","Wilko Duvet Set Single Textured Butterfly Pink","Wilko","135x200cm 50x75cm",NA,"1",NA,"Wash at 40",0.9
"HOM","DUV","426727","Wilko Duvet Set Double Textured Buttefly Pink","Wilko","200x200cm 50x75cm",NA,"1",NA,"Wash at 40",0.9
"HOM","DUV","426728","Wilko Duvet Set King Textured Butterfly Pink","Wilko","230x220cm 50x75cm",NA,"1",NA,"Wash at 40",0.9
"HOM","DUV","426743","Wilko Duvet Set Single Checked Design Blue","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426744","Wilko Duvet Set Double Checked Design Blue","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426745","Wilko Duvet Set King Checked Design Blue","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426746","Wilko Duvet Set Single Floral Blue","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426747","Wilko Duvet Set Double Floral Blue","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426748","Wilko Duvet Set King Floral Blue","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426775","Wilko Duvet Set Single Checked DesignBlack and Grey","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426776","Wilko Duvet Set Double Checked DesignBlack and Grey","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426777","Wilko Duvet Set King Checked DesignBlack and Grey","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426778","Wilko Duvet Set Single Floral Black","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426779","Wilko Duvet Set Double Floral Black","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426780","Wilko Duvet Set King Floral Black","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426781","Wilko Duvet Set Single London Skyline Grey","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426782","Wilko Duvet Set Double London Skyline Grey","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426783","Wilko Duvet Set King London Skyline King","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426801","Wilko Duvet Set Single Floral Latte","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426802","Wilko Duvet Set Double Floral Latte","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426803","Wilko Duvet Set King Floral Latte","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426804","Wilko Duvet Set Single Geometrics Green","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426805","Wilko Duvet Set Double Geometrics Green","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426806","Wilko Duvet Set King Geometrics Green","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426828","Wilko Duvet Set Single Checked Design Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426829","Wilko Duvet Set Double Checked Design Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426830","Wilko Duvet Set King Checked Design Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426831","Wilko Duvet Set Single Floral Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426832","Wilko Duvet Set Double Floral Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426833","Wilko Duvet Set King Floral Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426834","Wilko Duvet Set Single Sahara Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426835","Wilko Duvet Set Double Sahara Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426836","Wilko Duvet Set King Sahara Red","Wilko",NA,NA,NA,NA,NA,0.75
"HOM","DUV","426855","Wilko Duvet Set Single Leaf Design Natural","Wilko",NA,NA,NA,NA,NA,0.75
