"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"TOI","MED","230471","Vitabiotics Osteocare Original Tablets 30pk","Osteocare","30pk",0.9125
"TOI","MED","230470","Pregnacare 30pk","Pregnacare","30pk",0.9125
"TOI","MED","350538","Feroglobin 30pk","Vitabiotics","30pk",0.8625
"TOI","MED","350539","Perfectil Hair Nails and Skin 30pk","Vitabiotics","30pk",0.8625
"TOI","MED","351927","Menopace 30pk","Vitabiotics","30",0.81
"TOI","MED","351930","Vitabiotics Wellman Original Tablets30pk","Wellman","30",0.9125
"TOI","MED","351928","Wellwomen 30pk","Wellwoman","30",0.81
