"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","DQ Score"
"KIT","BAK","1242","Wilko Non-Stick 4 Cup Yorkshire Pudding Tin","Wilko","4 Cup","Silver","1",NA,NA,NA,1
"KIT","BAK","124825","Wilko Kitchen Non-Stick Deep Muffin Tin 12 Cup","Wilko","35.4x27x3cm","Grey","1",NA,NA,NA,1
"KIT","BAK","254135","Wilko Non-Stick Pizza Platter 33cm","Wilko","31cm","Silver","1",NA,NA,NA,1
"KIT","BAK","254137","Wilko Non-Stick Loaf Tin 900g/2lb","Wilko","900g","Silver","1",NA,NA,NA,1
"KIT","BAK","452439","Wilko Round Pan 29.8cm","Wilko","29.8cm",NA,"1",NA,NA,NA,0.93
"KIT","BAK","452440","Wilko Loaf Pan 31.2cm","Wilko","31.2cm",NA,"1",NA,NA,NA,0.93
"KIT","BAK","452441","Wilko Square Pan 27.5cm","Wilko","27.5cm",NA,"1","carbon steel",NA,NA,0.9
"KIT","BAK","452442","Wilko Small Roaster 33cm","Wilko","33cm",NA,"1",NA,NA,NA,0.93
"KIT","BAK","452443","Wilko Muffin Pan 12 Cup 40.4cm","Wilko","40.4cm",NA,"1",NA,NA,NA,0.93
"KIT","BAK","452444","Wilko Medium Roaster 40cm","Wilko","40cm",NA,"1",NA,NA,NA,0.93
"KIT","BAK","452445","Wilko Small Cookie Sheet 39cm","Wilko","39cm",NA,"1",NA,NA,NA,0.93
"KIT","BAK","452446","Wilko Mini Kid's Bake Pan Assted","Wilko",NA,NA,"1",NA,NA,NA,0.86
"KIT","BAK","52637","Wilko Roaster 35 x 26cm","Wilko","33x26cm","Grey","1",NA,NA,NA,1
"KIT","BAK","60600","Wilko Cake Tin Non-Stick Deep 20cm","Wilko","20cm","Grey","1",NA,NA,NA,1
"KIT","BAK","60602","Wilko Sandwich Tin 19cm","Wilko","19cm","Grey","1",NA,NA,NA,1
"KIT","BAK","60606","Wilko Kitchen Non-Stick Roaster 25 x 20cm","Wilko","28x22cm","Grey","1",NA,NA,NA,1
"KIT","BAK","880740","Wilko Kitchen Non-Stick Sandwich Tin Square  19 x19 x 3.6cm","Wilko","21cm","Grey","1",NA,NA,NA,1
"KIT","BAK","882040","Wilko Kitchen Non-Stick Sandwich Tin Deep Round19.5 x 3.5cm","Wilko","19.5cm","Grey","1",NA,NA,NA,1
"KIT","BAK","883940","Wilko Oven Tray 36 x 25cm","Wilko","36x25cm","Grey","1",NA,NA,NA,1
"KIT","BAK","916540","Wilko 12 Cup Non-Stick Bun Sheet 32 x 24cm","Wilko","32x24cm","Grey","1",NA,NA,NA,1
"KIT","FOO","449063","Wilko Food Container Round 330ml","Wilko","12.1cm x 12..1cm x 7.8cm",NA,"1","Plastic",NA,"330",0.95
"KIT","FOO","449068","Wilko Food Storage Container Rectangular 1.3 Litre","Wilko","22.1cm x 14.6cm x 8.1cm",NA,"1","Plastic",NA,"1300",0.95
"KIT","FOO","449069","Wilko Food Storage Container Rectangular 1.6 Litre","Wilko","22.1cm x 14.6cm x 9.9cm",NA,"1","Plastic",NA,"1600ml",0.95
"KIT","FOO","449071","Wilko Food Storage Container Rectangular 2.5 Litre","Wilko","25.5cm x 18cm x 9.9cm",NA,"1","Plastic",NA,"2500",0.95
"KIT","FOO","449072","Wilko Food Storage Container Rectangular 3.5 Litre","Wilko","25.5cm x 18cm x 13.5cm",NA,"1","Plastic",NA,"3.5 Litre",0.95
"KIT","FOO","449073","Wilko Food Container Square 1.2 Litre","Wilko","15.4cm x 15.4cm x 9.9cm",NA,"1","Plastic",NA,"1.2 Litre",0.95
"KIT","FOO","449074","Wilko Food Container Square 1.5 Litre","Wilko","18.8cm x 18.8cm x 8.1cm",NA,"1","Plastic",NA,"1.5 Litre",0.95
"KIT","FOO","449075","Wilko Food Storage Container Square 1.8 Litre","Wilko","18.8cm x 18.8cm x 9.9cm",NA,"1","Plastic",NA,"1.8 Litre",0.95
"KIT","FOO","449076","Wilko Food Container Square 2.3 Litre","Wilko","18.8cm x 18.8cm x 11.7cm",NA,"1","Plastic",NA,"2.3 Litre",0.95
"KIT","FOO","449077","Wilko Food Container Square 3.3 Litre","Wilko","22.3cm x 22.3cm x 11.7cm",NA,"1","Plastic",NA,"3.3 Litre",0.95
"KIT","FOO","449078","Wilko Food Container Square 4 Litre","Wilko","22.3cm x 22.3cm x 13.5cm",NA,"1","Plastic",NA,"4.0 Litre",0.95
"KIT","FOO","449079","Wilko Food Container Round 1.1 Litre","Wilko","15.5cm x 15.5cm x 9.9cm",NA,"1","Plastic",NA,"1.1 Litre",0.95
"KIT","FOO","449080","Wilko Food Storage Container Round 1.5 Litre","Wilko","19cm x 19cm x 11.2cm",NA,"1","Plastic",NA,"1.5 Litre",0.95
"KIT","FOO","449081","Wilko Food Container Round 2.1 Litre","Wilko","19cm x 19xm x 11.7cm",NA,"1","Plastic","No","2.1 Litre",0.65
