"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Washable","Power","Model Number","DQ Score"
"DIY","CYC","342333","Wilko LED Silicon Bike Lights Front and Rear","Wilko","2 Pack",NA,"1",NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342369","Wilko LED Bike Light Set Front and Rear","Wilko","L3.6 x W3.6 x H10.3cm, L7.4 x W3.4 x H4.3cm","Multi","2pk",NA,NA,NA,NA,0.941666666666667
"DIY","CYC","342372","Wilko LED Bike Light Rear High Intensity","Wilko","1 Pack",NA,"1",NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342373","Wilko Cree LED Bike Light Front High Intensity","Wilko","1 Pack",NA,"1","No","Do Not Wash",NA,NA,0.65
"DIY","CYC","342374","Wilko LED Ultra Bright Rear Bike Light","Wilko","1 Pack",NA,"1",NA,NA,NA,NA,0.883333333333333
"DIY","CYC","431263","Wilko LED Front Bike Light","Wilko","Incl. mounting bracket 3.6 x 9.8 x 8 cm","Black","1",NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431264","Wilko LED Helmet Light","Wilko","Incl. hook and loop fastener 5.7 x 4 x 3.2 cm","Black","1",NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431265","Wilko LED Rechargable USB Bike Lights Set","Wilko","Incl. silicone ladder fastener 3.7 x 12.5 x 2 cm","Black","2pk",NA,NA,NA,NA,0.941666666666667
"DIY","ELE","142473","Wilko 24hr Timer Switch","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"DIY","ELE","155321","Wilko Electronic Timeswitch Compact 24h/7day","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"DIY","ELE","289469","Wilko Torch Ultra Bright LED","Wilko","Compact","Black","1",NA,NA,"Battery",NA,0.95
"DIY","ELE","292421","Wilko Torch Handy Black LED","Wilko",NA,NA,"1",NA,NA,"Battery",NA,0.85
"DIY","ELE","332947","Wilko Plug In Night Light Soft White Glow","Wilko",NA,NA,"1",NA,NA,"Mains",NA,0.883333333333333
"DIY","ELE","341933","Wilko Torch 3 LED Yellow","Wilko",NA,NA,"3pk",NA,NA,"Battery",NA,0.85
"DIY","ELE","405782","LED Push Lights Silver 2pk","Wilko",NA,NA,"2 Pack",NA,NA,NA,NA,0.75
"DIY","ELE","420158","Wilko Sensor Light and Torch","Wilko",NA,NA,"1",NA,NA,NA,NA,0.8
"DIY","ELE","42772","Wilko Circuit Breaker White","Wilko",NA,NA,NA,NA,NA,NA,"CB004",0.86
"DIY","ELE","441027","Wilko LED Spotlight and Lantern","Wilko","17 x 9.5 x 14 cm","Red","1",NA,NA,NA,NA,0.9
"DIY","ELE","441028","Wilko Head Torch COB LED","Wilko","7 x 4.8 x 3.5 cm","Black","1",NA,NA,NA,NA,0.85
"DIY","ELE","441030","Wilko LED Sensor Light Plug In","Wilko","9.5 x 6 x 6 cm",NA,"1",NA,NA,NA,NA,0.8
"DIY","ELE","441031","Wilko Push Light 3 SMD","Wilko","7.5 x 7.5 x 2.5 cm",NA,"1",NA,NA,NA,NA,0.8
"DIY","ELE","441032","Wilko PIR Sensor Light 3 SMD","Wilko","9.4 x 9.4 x 2.9 cm",NA,"1",NA,NA,NA,NA,0.8
"DIY","ELE","441047","Wilko Micro Torch 3 LED","Wilko","2.7 x 2.7 x 5.5 cm","Silver","1",NA,NA,NA,NA,0.9
"DIY","ELE","441076","Wilko Pocket Torch 6 SMD","Wilko","2.7 x 2.7 x 16 cm","Black","1",NA,NA,NA,NA,0.85
"DIY","ELE","441077","Wilko Chip on Board Work Light","Wilko","5.5 x 2.5 x 21 cm","Yellow","1",NA,NA,NA,NA,0.85
