"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"TOI","MEN","449512","Brut Roll On Deodorant 50ml","Brut",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MEN","77520","Brut Splash-On Lotion 200ml","Brut","200ml",NA,"1",NA,NA,NA,1
"TOI","MEN","100436","Just for Men Medium Brown","Just For Men",NA,"Brown","1",NA,NA,NA,0.93
"TOI","MEN","100437","Just for Men Dark Brown","Just For Men",NA,"Brown","1",NA,NA,NA,0.93
"TOI","MEN","125972","Just for Men Black","Just For Men",NA,"Black","1",NA,NA,NA,0.93
"TOI","MEN","162342","Just for Men Light Brown","Just For Men",NA,"Brown","1",NA,NA,NA,0.93
"TOI","MEN","450561","Control GX Shampoo 147ml","Just For Men",NA,NA,"1",NA,NA,NA,0.81
"TOI","MEN","450562","Control GX Shampoo & Conditioner 147ml","Just For Men",NA,NA,"1",NA,NA,NA,0.81
"TOI","MEN","141577","Old Spice Original After Shave 150ml","Old Spice","150ml",NA,"1",NA,NA,NA,1
"TOI","MEN","213316","Old Spice Classic Deodorant Stick Original 50ml","Old Spice","50ml",NA,"1",NA,NA,NA,1
"TOI","MEN","431268","Old Spice Wolfthron Body Spray 150ml","Old Spice","150ml",NA,"1",NA,NA,NA,1
"TOI","MEN","450565","Old Spice Anti Perspirant and Deodrant OdourBlocker Spray 150ml","Old Spice",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MEN","450566","Old Spice Anti Perspirant and Deodrant OdourBlocker Stick 50ml","Old Spice","50ml",NA,"1",NA,NA,NA,1
"TOI","MEN","76712","Old Spice Original Deodorant 150ml","Old Spice","150ml",NA,"1",NA,NA,NA,1
"TOI","SHC","157942","Wash and Go Universal 2in1 Shampoo andConditioner 200ml","Wash & Go","200ml",NA,"1",NA,NA,NA,0.95
"TOI","SHC","247177","Wash and Go Sport 2in1 Shampoo and Conditioner200ml","Wash & Go",NA,NA,"1",NA,NA,NA,0.8625
"TOI","SMO","183308","NiQuitin 24 Hour Patch Step 1 21mg","NiQuitin",NA,NA,NA,NA,NA,NA,1
"TOI","SMO","183309","NiQuitin CQ Clear 7 Patches Step 2 14mg","NiQuitin",NA,NA,NA,NA,NA,NA,1
"TOI","SUN","409327","Jungle Formula Pump Max 90ml","Jungle Formula",NA,NA,"1",NA,NA,NA,0.9125
"TOI","SUN","452948","Jungle Formula Kids Bracelet","Jungle Formula",NA,NA,"1",NA,NA,NA,0.9125
"TOI","SUN","452949","Jungle Formula Kids Lotion 125ml","Jungle Formula",NA,NA,"1",NA,NA,NA,0.9125
"TOI","XMS","441628","Brut Gift Set For MenShower Gel And Deodorant","Brut","Shower Gel 220ml / Deodorant 250ml",NA,NA,NA,NA,NA,0.825
