"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Washable","Age","DQ Score"
"TOY","ACT","263898","Disney Cars Die Cast Cars 1:55 Scale Assortment","Cars","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","ACT","448316","Disney Cars Oversized Diecast Assortment","Cars","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","ACT","191086","Hot Wheels Basic Car Assortment","Hot Wheels","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","ACT","191089","Hot Wheels Die Cast Cars 1:64 Scale 5pk Assortment","Hot Wheels","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","ACT","428775","Hot Wheels Batman V Superman Assortment","Hot Wheels","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","ACT","285276","WWE Figure 6in Assortment","WWE","Multi","1",NA,"6 Years +",0.941666666666667
"TOY","ACT","439743","WWE Mini Figure Assorted","WWE","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","FAN","448537","Barbie Fashionista Doll Assorted","Barbie","Multi","1","Wipe Clean Only","3 Years +",0.95
"TOY","GIR","401401","Disney Sofia The First Royal Coach","Disney",NA,"1",NA,"3+",0.85
"TOY","PRE","448314","Fisher Price BeatBo Mini Figure","Fisher Price","Multi","1",NA,"6 Months +",0.941666666666667
"TOY","PRE","448304","Mega Bloks Build N Learn Bag","Mega Blocks","Multi","1",NA,"12 Months +",0.891666666666667
"TOY","PRE","409167","Thomas Mighty Minis Blind Bag","Thomas & Friends","Multi","1",NA,"3 Years +",0.891666666666667
"TOY","PRE","448309","My First Thomas Roll n Pop Engine","Thomas & Friends","Multi","1",NA,"12 Months +",0.891666666666667
"TOY","PRE","448311","Thomas & Friends Small Engine","Thomas & Friends","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","PRE","448312","Thomas & Friends Large Talking Engine","Thomas & Friends","Multi","1",NA,"3 Years +",0.941666666666667
