"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Washable","DQ Score"
"HOM","CHI","451234","Duvet Set Emoji Multi Reversible Single","Other","Single","1","Polyester Cotton","Wash at 40 Synth",0.9
"HOM","CHI","451235","Emoji Embroided Poop Cushion","Other","35 x 35cm","1","Polyester","Spot Clean Only",0.9
