"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","DQ Score"
"FOO","XMS","338631","Red Tree Lemon and Ginger Biscuit Tube 200g","Farmhouse","200g","1","Cardboard","No",0.6
"FOO","XMS","423026","Giant Snowman Tube of Chocolate Chip Biscuits 300g","Farmhouse","300g","1","Cardboard","No",0.6
"FOO","XMS","423027","Giant Santa Tube of Butterscotch Toffee Biscuits300g","Farmhouse","150g","1","Cardboard","No",0.6
"FOO","XMS","423028","Topiary Ginger Biscuit Tube 200g","Farmhouse","200g","1","Cardboard","No",0.6
"FOO","XMS","423031","12 Days of Christmas Biscuit Tube 200g","Farmhouse","200g","1","Cardboard","No",0.6
"FOO","XMS","423034","Chocolate Chip Biscuit Tin 400g","Farmhouse","400g","1","Tinplate","No",0.6
"FOO","XMS","423036","Farmhouse Biscuits Shortbread Biscuits 150g","Farmhouse","150g","1","Cardboard","No",0.65
"FOO","XMS","423037","Farmhouse Biscuits Chocolate Chip Shortbread 150g","Farmhouse","150g","1","Cardboard","No",0.65
"FOO","XMS","423039","Farmhouse Biscuits Bear Shortbread 150g","Farmhouse","150g","1","Cardboard","No",0.65
"FOO","XMS","423046","Tree & Bow Chocolate Chip Biscuit Tube 200g","Farmhouse","200g","1","Cardboard","No",0.6
"FOO","XMS","443382","Giant Penguin Tube of Chocolate Chip Biscuits","Wilko","300g","1","Cardboard","No",0.6
"FOO","XMS","443390","Farmhouse Biscuits Lemon Curd Whirls 150g","Wilko","150g","1","Cardboard","No",0.6
"FOO","XMS","443393","Traditional Orange and Chocolate Chip Biscuits inHessian Red Bag 125g","Wilko","125g","1","Fabric","No",0.6
