"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"SBK","SPC","457547","Wilko Design Pad Large","Wilko","12INCH X 12INCH","Multi","1",NA,"No",NA,0.65
"TOY","CRE","456570","Grafix 2 in 1 Geo Science Experiment Kit","Grafix",NA,"Multi","1",NA,NA,"12 Months +",0.891666666666667
"TOY","CRE","456571","Grafix Ulitmate Magic Set","Grafix",NA,"Multi","1",NA,NA,"5 Years +",0.891666666666667
"TOY","CRE","350914","Wilko 3D Snakes and Ladders Game","Wilko",NA,"Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","456573","Wilko Don't Drop The Monkey Game","Wilko",NA,"Multi","1","Plastic","No","3 Years +",0.65
"TOY","CRE","456575","Wilko Dino Op Game","Wilko",NA,"Multi","1",NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","456576","Wilko Mouth Off Game","Wilko",NA,"Multi","1",NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","457341","Wilko Splat Face Game","Wilko",NA,"Multi","1",NA,NA,"5 Years +",0.941666666666667
"TOY","POC","457309","Grafix Bracelets Sets Assorted","RMS International",NA,"Multi","1",NA,NA,"5+",0.891666666666667
"TOY","POC","457314","Trolls Shimmering Lip Gloss Assorted","Trolls",NA,"Multi","1",NA,NA,"6+",0.9
"TOY","POC","457311","Wilko Flying Flamingos/Dinosaurs Assorted","Wilko",NA,"Multi","1",NA,NA,"6+",0.941666666666667
"TOY","POC","457312","Wilko Duck Shoot","Wilko",NA,"Multi","1",NA,NA,"6+",0.941666666666667
"TOY","POC","457317","Wilko Splat Fun","Wilko",NA,"Multi","1",NA,NA,"3+",0.941666666666667
