"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"TOI","DEN","210297","Dentyl Mouthwash Active Plaque FighterFresh Clove 500ml","Dentyl pH","500ml","Multi","1","No",0.6
"TOI","DEN","352776","Dentyl Active Plaque Fighter Smooth Mint Mouthwash500ml","Dentyl pH","500ml",NA,"1","No",0.6
"TOI","DEN","34166","Mentadent SR Toothpaste Original 100ml","Mentadent","100ml","Multi","1","No",0.65
"TOI","FAC","203197","Astral Original All Over Moisturiser 200ml","Astral","200ml",NA,NA,NA,0.9125
"TOI","FAC","440385","Blistex Intensive Moisturiser SPF10","Blistex","5g",NA,"1",NA,1
"TOI","FAC","338589","Freederm Deep Pore Cleansing Wipes 25pk","Freedom",NA,NA,"25pk",NA,0.8625
"TOI","FAC","338590","Freederm Exfoliating Daily Wash 150ml","Freedom","150ml",NA,NA,NA,0.8625
"TOI","FAC","338592","Freederm Face Gel 10g","Freedom","10g",NA,NA,NA,0.8625
"TOI","MED","238991","4head Headache Relief 3.6g","4 Head","3.6g",NA,NA,NA,0.8625
"TOI","MED","304511","Bazuka Treatment Gel 6g","Bazuka",NA,NA,"1",NA,0.9125
"TOI","MED","82890","Blistex Relief Cream 5g","Blistex","5g",NA,"1",NA,0.95
"TOI","MED","126585","Combe Odoreaters Super Tuff 2pk","Odour-Eaters",NA,NA,"1",NA,0.8625
"TOI","MED","207480","Odor-Eaters Foot and Shoe Spray 150ml","Odour-Eaters","150ml",NA,"1",NA,0.95
"TOI","MED","280488","Otex Ear Drops Express 10ml","Otex","10ml",NA,NA,NA,0.9125
