"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","Model Number","DQ Score"
"DIY","BUL","5156240","Wilko Starter for Fluorescent Light 80W","Wilko","1 Pack",NA,"1","4-65W",NA,1
"DIY","BUL","60686","Wilko Starter for Fluorescent Light 125W","Wilko","1 Pack",NA,"1","125W",NA,1
"DIY","ELE","230735","Tower Exterior Junction Box Small","Wilko","Small",NA,NA,NA,NA,0.775
"DIY","ELE","255640","Wilko Extension Tower 10 Gang Surge Protected","Wilko","2m","White",NA,NA,NA,0.93
"DIY","ELE","342985","Wilko Twin 400W Dimmer Steel","Wilko","400w",NA,"1",NA,NA,0.883333333333333
"DIY","ELE","342991","Wilko Twin 400W Dimmer Chrome","Wilko","400w",NA,"1",NA,NA,0.883333333333333
"DIY","ELE","342996","Wilko Single 400W Dimmer Black Nickel","Wilko","400w",NA,NA,NA,NA,0.825
"DIY","ELE","342997","Wilko Twin 400W Dimmer Black Nickel","Wilko","400w",NA,NA,NA,NA,0.825
"DIY","ELE","412203","Wilko 10amp Fuses 4pk","Wilko",NA,NA,NA,NA,"FUSE10",0.825
"DIY","ELE","5320040","Wilko Fused Connection Unit 13amp","Wilko","13AMP",NA,"1",NA,NA,0.883333333333333
