"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Washable","DQ Score"
"KIT","DIN","427251","Wilko Dinner Plate Ceramic Oval Cream","Wilko","2.6cm x 27cm","Cream","1",NA,"Dishwasher proof",1
"KIT","DIN","427252","Wilko Side Plate Ceramic Oval Cream","Wilko","2.6cm x 20.5cm","Cream","1",NA,"Dishwasher proof",1
"KIT","DIN","427253","Wilko Bowl Ceramic Oval Cream","Wilko","9.7cm x 11cm","Cream","1",NA,NA,1
"KIT","DIN","427254","Wilko Mug Ceramic Oval Cream","Wilko","10cm x 9.5cm","Cream","1",NA,NA,1
"KIT","DIN","427266","Wilko Dinner Plate Ceramic Square Taupe","Wilko","2.5cm x 26cm","Brown","1",NA,NA,1
"KIT","DIN","427267","Wilko Side Plate Ceramic Square Taupe","Wilko","2.2cm x 21cm","Brown","1",NA,NA,1
"KIT","DIN","427268","Wilko Bowl Ceramic Square Taupe","Wilko","6.7cm x 15cm","Brown","1",NA,NA,1
"KIT","DIN","427269","Wilko Mug Ceramic Square Taupe","Wilko","9.9cm x 9cm","Brown","1",NA,NA,1
"KIT","DIN","427720","Wilko Dinner Plate Colourplay Range Black 27cm","Wilko","4cm x 27cm","Black","1",NA,"Dishwasher proof",1
"KIT","DIN","427721","Wilko Side Plate Colourplay Range Black 22cm","Wilko","3cm x 22cm","Black","1",NA,"Dishwasher proof",1
"KIT","DIN","427722","Wilko Bowl Colourplay Range Black 13.5cm","Wilko","7.5cm x 13.7cm","Black","1",NA,"Dishwasher proof",1
"KIT","DIN","427723","Wilko Colourplay Mug Black","Wilko","10.2cm x 8.7cm","Black","1",NA,NA,1
"KIT","DIN","427724","Wilko Dinner Set Colourplay Range Black","Wilko",NA,"Black","1",NA,"Dishwasher proof",0.941666666666667
"KIT","DIN","447403","Wilko Dinner Set Mediterranean Style 12 Piece","Wilko",NA,NA,NA,NA,NA,1
"KIT","DIN","447404","Wilko Dinner Plate Large Mediterranean Style 27cm","Wilko",NA,NA,NA,NA,NA,1
"KIT","DIN","447405","Wilko Side Plate Mediterranean Style 19cm","Wilko",NA,NA,NA,NA,NA,1
"KIT","DIN","447406","Wilko Bowl Mediterranean Style 22cm","Wilko",NA,NA,NA,NA,NA,1
"KIT","DIN","447407","Wilko Mug Mediterranean Style 11oz","Wilko",NA,NA,NA,NA,NA,1
"KIT","DIN","452448","Wilko Colour Play Dinner Plate Cream","Wilko",NA,NA,"1",NA,NA,0.86
"KIT","DIN","452449","Wilko Colour Play Side Plate Cream","Wilko",NA,NA,"1",NA,NA,0.86
"KIT","DIN","452450","Wilko Colour Play Bowl Cream","Wilko",NA,NA,"1",NA,NA,0.86
"KIT","DIN","452451","Wilko Colour Play Mug Cream","Wilko",NA,NA,"1",NA,NA,0.86
"KIT","DIN","452452","Wilko Colour Play Dinner Set Cream 12pce","Wilko",NA,NA,"12",NA,NA,0.86
"KIT","DIN","236177","Wilko Functional Dinner Plate White","Wilko Functional","26cm","White","1",NA,NA,1
"KIT","DIN","236178","Wilko Functional Side Plate White","Wilko Functional","19cm","White",NA,NA,NA,0.93
"KIT","DIN","236179","Wilko Functional  Cereal Bowl White 135mm","Wilko Functional","135mm","White","1",NA,NA,1
"KIT","DIN","236180","Wilko Functional Mug White","Wilko Functional",NA,"White","1",NA,NA,0.93
"KIT","DIN","263286","Wilko Functional Dinner Set White","Wilko Functional","Set","White","12pcs",NA,"Dishwasher proof",1
"KIT","MUG","450271","Wilko Mug 2-Tone Black","Wilko","10.3cm x 7.6cm",NA,"1",NA,NA,0.93
"KIT","MUG","450272","Wilko Mug 2-Tone Green","Wilko","10.3cm x 7.6cm",NA,"1",NA,NA,0.93
"KIT","MUG","450273","Wilko Mug 2-Tone Grey","Wilko","10.3cm x 7.6cm",NA,"1",NA,NA,0.93
"KIT","MUG","450274","Wilko Mug 2-Tone Dark Blue","Wilko","10.3cm x 7.6cm",NA,"1",NA,NA,0.93
"KIT","MUG","450275","Wilko Mug 2-Tone Purple","Wilko","10.3cm x 7.6cm",NA,"1",NA,NA,0.93
"KIT","MUG","450276","Wilko Mug 2-Tone Red","Wilko","10.3cm x 7.6cm",NA,"1",NA,NA,0.93
"PET","CAT","450635","Wilko Chalkboard Cat Bowl","Wilko","17.5x17.5x4cm",NA,NA,NA,NA,0.86
"PET","GEN","450636","Wilko Chalkboard Dog Bowl Small","Wilko","Small",NA,NA,"Stoneware",NA,0.85
"PET","GEN","450637","Wilko Chalkboard Dog Bowl Medium","Wilko","Medium",NA,NA,"Stoneware",NA,0.85
"PET","GEN","450638","Wilko Chalkboard Dog Bowl Large","Wilko","Large",NA,NA,"Stoneware",NA,0.85
