"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","Capacity","Model Number","DQ Score"
"KIT","DIN","427872","Wilko Kettle Dome Type Open Handled Black","Wilko","25cm x 21cm x 20cm","Black",NA,"220-240V 50Hz 3000W",NA,"KE01402 - Black",1
"KIT","DIN","453108","Wilko Domed Kettle Cream","Wilko",NA,NA,"1",NA,NA,NA,0.86
"KIT","ELE","316219","Wilko Toaster 2 Slice Black","Wilko","2 Slice","Black",NA,NA,NA,NA,0.883333333333333
"KIT","ELE","316220","Wilko Toaster 2 Slice Red","Wilko","2 Slice","Red",NA,NA,NA,NA,0.883333333333333
"KIT","ELE","316227","Wilko Hand Blender Set","Wilko","500ml  Bowl, 700ml Cup","Black",NA,"300W",NA,NA,0.9
"KIT","ELE","316233","Wilko Sandwich Toaster 4 Slice Black","Wilko","4 Slice","Black",NA,"700W",NA,"ST1008",1
"KIT","ELE","328519","Wilko Toaster 4 Slice","Wilko","4 Slice","Metal",NA,"Mains",NA,NA,0.941666666666667
"KIT","ELE","328563","Wilko Toaster 2 Slice Purple","Wilko","2 Slice","Purple","1",NA,NA,NA,1
"KIT","ELE","414227","Wilko Blend and Go Blender","Wilko",NA,NA,NA,"220-240V 50Hz 300W","600ml","BL9316A-GS",0.9
"KIT","ELE","418911","Wilko Colourplay Kettle Black","Wilko",NA,NA,NA,"3KW",NA,NA,0.825
"KIT","ELE","418912","Wilko Colourplay Kettle Red","Wilko",NA,NA,NA,"3KW",NA,NA,0.825
"KIT","ELE","418913","Wilko Colourplay Kettle Purple","Wilko",NA,NA,NA,"3KW",NA,NA,0.825
"KIT","ELE","228906","Wilko Functional Hand Blender 2 Speed","Wilko Functional","175w-200w","White",NA,"Mains",NA,NA,0.9
"KIT","ELE","228910","Everday Value Hand Mixer White","Wilko Functional",NA,"White",NA,"Mains",NA,NA,0.8
"KIT","ELE","316169","Wilko Functional Cordless Kettle White 1.7L","Wilko Functional","1.7L","White",NA,NA,NA,NA,0.883333333333333
"KIT","ELE","316232","Wilko Functional 2 Slice Toaster White","Wilko Functional","2 Slice","White",NA,NA,NA,NA,0.883333333333333
