"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Power","Model Number","DQ Score"
"HOU","IRN","327988","Wilko Steam Iron Teal and White 2200W","Wilko","2200W","Multi","Mains",NA,0.941666666666667
"HOU","IRN","329083","Wilko Travel Steam Iron Purple and Silver900W-1100W","Wilko","900W-1100W","Multi","Mains",NA,0.941666666666667
"HOU","IRN","417455","Wilko Ceramic Coated Soleplate 2400W","Wilko",NA,NA,NA,NA,0.766666666666667
"HOU","IRN","327987","Wilko Steam Iron White 1200W","Wilko Functional","1200W","Multi","Mains",NA,0.891666666666667
"KIT","ELE","434826","Wilko Panini Maker","Wilko",NA,NA,"900, 1080W","S-6155",0.883333333333333
