"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Model Number","DQ Score"
"DIY","ELE","342321","Sky 120 HD Remote Control","Sky",NA,NA,"1",NA,"No",NA,NA,0.65
"SBK","COM","413883","Groov-e Bumper Case for Phone 6","Groove",NA,NA,"1",NA,"No",NA,NA,0.6
"SBK","COM","413885","Groov-e Bumper Case for Phone 6 Plus","Groove",NA,NA,"1",NA,"No",NA,NA,0.6
"SBK","COM","349261","Tablet Case Universal Neoprene 7in","Rashmian","7in",NA,NA,NA,"No",NA,NA,0.6
"SBK","COM","428804","Phone Case iPhone 6 Hard Shell Crystal","Wilko","13.5cm x 7cm x 1cm","Multi","1","PC","No","iPhone 6","W428804",0.6
"SBK","COM","428805","Phone Case iPhone 6 Rugged Case Assorted","Wilko","13.5cm x 7cm x 1cm","Multi","1","TPU, PC","No","iPhone 6 Plus","W428805",0.6
"SBK","COM","428807","Phone Case iPhone 6 Hard-Shell Crystal","Wilko","16cm x 7.5cm x  1cm","Multi","1","PC","No","iPhone 5","W428807",0.6
"SBK","COM","428810","Bumper Case For iPhone 5","Wilko","12.5cm x 6cm x 1cm","Multi","1","TPU, PC","No","iPhone 5","W428810",0.6
"SBK","COM","428811","Phone Case iPhone 5 Rugged Case","Wilko","12.5cm x 6cm x 1cm","Multi","1","TPU, PC","No","Samsung S5","W428811",0.6
"SBK","COM","428812","Phone Case Flip Black S5","Wilko","17cm x 8cm x 1cm","Black","1","PC, PU leather","No","Samsung S5","W428812",0.6
"SBK","COM","428813","Phone Case Flip Black Samsung Edge","Wilko","17cm x 8cm x 1cm","Black","1","PC, PU leather","No","Samsung Edge","W428813",0.6
"SBK","COM","428814","Bumper Case For Samsung S6","Wilko","14.5 x 7.2 x 0.5","Multi","1","TPU, PC","No","Samsung S6","W428814",0.6
"SBK","COM","428815","9H Tempered Glass Case 7 Inch Tablet","Wilko","17cm x 23.5cm x 0.5cm","Clear","1","glass","No","iPad Mini 2","W428815",0.6
"SBK","COM","428816","9H Tempered Glass Case 10 Inch Tablet","Wilko","21.5cm x 27.5cm x 0.5cm","Clear","1","glass","No","iPad Air 2","W428816",0.6
"SBK","COM","428817","Rugged Tablet Case 7in","Wilko","17cm x 23.5cm x 1cm","Multi","1","TPU, PC","No","iPad Mini 2","W428817",0.6
"SBK","COM","428818","Rugged Tablet Case 10 Inch","Wilko","21.5cm x 27.5cm x 1cm","Multi","1","TPU, PC","No","iPad Air 2","W428818",0.6
"SBK","COM","428819","PU Leather Folio Tablet Case Black 7in","Wilko","17cm x 23.5cm x 1cm","Black","1","PC, PU leather","No","7 inch tablets","W428819",0.6
