"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"KIT","ELE","318682","Wilko Deep Fat Fryer Robust Stainless Steel 0.9L","Wilko","900ml",0.86
"KIT","ELE","318683","Wilko Deep Fat Fryer Robust Stainless Steel 3L","Wilko","3l",0.86
