"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Material","Assembly","DQ Score"
"TOI","XMS","456913","Gizmo Spin the Shot","Wilko","1","ABS,Glass,Metal","No",0.6
"TOI","XMS","456914","Gizmo Spin the Bottle","Wilko","1","ABS, Plastic and Metal","No",0.6
