"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","DQ Score"
"HOM","CLO","326591","Wilko Antique Effect Clock 30cm","Acctim","Single","Cream","1","Battery",0.95
"HOM","CLO","287981","Wilko Square Alarm Clock Black","Wilko","Single","Black","1","Battery",1
"HOM","CLO","310761","Wilko Retro Wall Clock Cream","Wilko",NA,"Cream","1","Battery",0.941666666666667
"HOM","CLO","427023","Wilko Square Alarm Clock Cream","Wilko",NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452620","Wilko Silver Classic Wall Clock","Wilko",NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452621","Wilko Classic Wall Clock Copper Effect","Wilko",NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452622","Wilko Retro Wall Clock Grey","Wilko",NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452623","Wilko Retro Wall Clock Red","Wilko",NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452624","Wilko Radio Controlled Alarm Clock","Wilko",NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452626","Wilko MDF Slogan Clock","Wilko",NA,NA,NA,NA,0.766666666666667
"HOM","CLO","287986","Wilko Functional Round Wall Clock","Wilko Functional","Single","White",NA,"Battery",0.941666666666667
"HOM","CLO","287987","Wilko Round Wall Clock Black","Wilko Functional","22cm",NA,"1","Battery",0.891666666666667
