"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"SBK","BOM","431044","Help with Homework First Learning Counting and Alphabet Ages 3-5 Years Assorted","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431046","Homework Helpers Key Stage 1 First Maths and Phonics Ages 5-7 Years Assorted","Help With Homework",NA,NA,"1",NA,NA,0.95
"SBK","BOM","431048","Help with Homework Key Stage 1 Spelling and Numbers Ages 5-7 Years Assorted","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431346","Help with Homework Maths and English Ages 5+ YearsAssorted","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431347","Help with Homework First Time Learning Books Ages3+ Years","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431379","Help with Homework First Time Learning Wipe CleanPad Ages 3+ Years Assorted","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431380","Help with Homework Reward Pads Ages 5+ Years Assorted","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431381","Help with Homework Handwriting Ages 5+ Years","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431382","Help with Homework Bumper Workbook","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431456","Help with Homework Pad Maths Ages 5+ Years","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","431457","Help with Homework Adding and Subtracting Ages 7+Years","Help With Homework",NA,NA,"1",NA,NA,1
"SBK","BOM","336067","Fairy Sticker and Activity Fun Book","Igloo",NA,NA,NA,NA,"No",0.6
"SBK","BOM","346786","Assorted Sticker and Activity Book","Igloo",NA,NA,NA,NA,"No",0.6
"SBK","BOM","346791","Sticker Scenes Fun Activity Book Assorted","Igloo",NA,NA,NA,NA,"No",0.6
"SBK","BOM","408583","My First Sticker Fun and Activity Book Assorted","Igloo",NA,NA,NA,NA,"No",0.6
"SBK","BOM","411697","Joke Tastic Assorted","Igloo",NA,NA,NA,"Paper","No",0.6
"SBK","BOM","411713","Tiny Tots Flash Cards ABC and 123 Assorted","Igloo",NA,NA,NA,NA,NA,0.833333333333333
"SBK","BOM","431342","Tiny Tots Easel First Learning ABC and 123 Assorted","Igloo",NA,NA,"1",NA,NA,0.95
"SBK","BOM","457304","Concertina Adult Colouring Book Assorted","Igloo","22 X 0.70 X 26.5","Multi","1",NA,"No",0.6
"SBK","BOM","457305","Creative Colour Me In Greeting Cards Assorted","Igloo","25 X 1.0 X 23.5","Multi","1",NA,"No",0.6
"SBK","BOM","411716","Wilko Pocket Puzzles Crosswords","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411717","Wilko Pocket Puzzles Sudoku","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411718","Wilko Pocket Puzzles Wordsearch","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411719","Wilko Pocket Puzzles Kriss Kross","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411720","Wilko Pocket Puzzles Brain Training Teasers","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411728","Wilko Crosswords Large Print","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411730","Wilko Spot The Difference","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411731","Wilko Spot The Difference","Wilko",NA,NA,"1","Paper","No",0.65
"SBK","BOM","411732","Wilko Number Fun Sudoku","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411733","Wilko Mind Melting Crosswords","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","411734","Wilko Puzzle Tastic Wordsearch","Wilko",NA,NA,"1",NA,NA,1
"SBK","BOM","431050","Wilko Creative Colouring Nature","Wilko","21.6 x 0.5 x 26.5",NA,"1",NA,"No",0.65
"SBK","BOM","431051","Wilko Creative Colouring Flowers","Wilko","21.6 x 0.5 x 26.5",NA,"1",NA,"No",0.65
"SBK","BOM","431052","Wilko Calming Mandalas Colouring Book","Wilko","29.7 x 0.4 x 22.6",NA,"1",NA,"No",0.65
"SBK","BOM","431053","Wilko Intricate Patterns Colouring Book","Wilko","29.7 x 0.4 x 22.6",NA,"1",NA,"No",0.65
"SBK","BOM","431590","Wilko Creative Colouring Gardens 20 Scenes","Wilko","29.7 x 0.4 x 22.6",NA,"1",NA,"No",0.65
"SBK","BOM","431591","Wilko Creative Colouring Landscapes 20 Scenes","Wilko","29.7 x 0.4 x 22.6",NA,"1",NA,"No",0.65
"SBK","COO","445255","Wilko Enterprising Britain Mini Colouring Book","Wilko","15 x 0.5 x 15cm","Multi","1",NA,"No",0.65
"SBK","COO","456964","Wilko Decelerate Adult Colouring Book","Wilko",NA,"Multi","1",NA,"No",0.65
"SBK","KID","453625","Creative Dot to Dot","Igloo","1.3 X 20.5 X 27.5","Multi","1",NA,"No",0.6
"SBK","KID","453626","Creative Moments Adult Colouring Book","Igloo","1.3 X 20.5 X 27.5","Multi","1",NA,"No",0.6
"SBK","KID","349448","Wilko Fun Learning Book 123 and ABC","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","349449","Wilko Shaped Wipe Clean Book","Wilko",NA,NA,NA,NA,NA,0.79
"SBK","KID","349451","Wilko Magic Painting Book","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","349452","Wilko Copy Colouring Shaped","Wilko",NA,NA,NA,NA,NA,0.79
"SBK","KID","349633","Wilko Carry Handle Activity Set","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","349641","Wilko Activity Pad","Wilko",NA,NA,NA,NA,NA,0.79
"SBK","KID","350703","Wilko Lets Learn 2 Activity Book","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","350719","Wilko Activity And Sticker Book A3","Wilko",NA,NA,NA,NA,NA,0.79
"SBK","KID","350729","Wilko Seasonal Colour and Activity Book","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","416110","Wilko Fun Pad","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","416111","Wilko Jumbo Colouring Book","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","416112","Wilko Pretty Shaped Dot to Dot","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","416115","Wilko My First 123 and ABC","Wilko",NA,NA,"1",NA,NA,0.86
"SBK","KID","433080","Fridge Art Assorted","Wilko","280 x 2150 x 6",NA,"1",NA,"No",0.6
"SBK","KID","453628","Wilko Craft Ideas Book","Wilko",NA,"Multi","1",NA,NA,0.93
"SBK","KID","453629","Wilko Ultimate Grab Bag Assorted","Wilko",NA,"Multi","1",NA,NA,0.93
"SBK","KID","453630","Wilko Stickers Play Scene Dinosaurs","Wilko",NA,"Multi","1",NA,NA,0.93
"SBK","KID","453631","Wilko Stickers Play Scene Princesses","Wilko",NA,"Multi","1",NA,NA,0.93
"SBK","KID","453632","Wilko Tear Off Activity Placemats","Wilko",NA,"Multi","1",NA,NA,0.93
"SBK","SPC","337719","Who's Hiding 1001 Things to Find at Christmas","Igloo",NA,NA,NA,"Paper","No",0.6
"SBK","SPC","406507","Christmas Themed Picture Storybook Assortment","Igloo",NA,NA,"1",NA,"No",0.6
"SBK","SPC","423052","Kids Hobby Tins Street Magic","Igloo",NA,NA,"1","Paper","No",0.6
"SBK","SPC","423053","Kids Hobby Tins Beads & Charms","Igloo","height 19.7 length 19.7 spine 5.0",NA,"1","Paper","No",0.6
"SBK","SPC","423054","Kids Hobby Tins Amazing Balloon Modelling","Igloo","height 19.7 length 19.7 spine 5.0",NA,"1","Paper","No",0.6
"SBK","SPC","423055","Glitter Box My First Beauty Set","Igloo",NA,NA,"1","Paper","No",0.6
"SBK","SPC","440904","Creative Tin Extra Enchanting Nature","Igloo","L 2  W 21.2  H28.5",NA,"1",NA,"No",0.6
"SBK","SPC","440905","Creative Tin Extra Soothing Patterns","Igloo","L 2  W 21.2  H28.5",NA,"1",NA,"No",0.6
"SBK","SPC","440916","Book & Plush Santa's Little Elf","Igloo",NA,NA,"1",NA,NA,0.81
"SBK","SPC","440917","My Glow in The Dark Space Set","Igloo","24cm x 5cm x 20cm",NA,"1",NA,"No",0.6
"SBK","SPC","440925","Colouring Fun Deluxe Assortment","Igloo","19.7cm x 0.6cm x 27cm",NA,"1",NA,"No",0.6
"SBK","SPC","440927","Xmas Themed Wobbly Eyes Book Assortment","Igloo","19.8 cmx 0.7cm x 20mcm",NA,"1",NA,"No",0.6
