"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Model Number","DQ Score"
"HOM","BAT","451425","Wilko Coastal Door Hook","Wilko","3.1L x 8.0W x13.8H (CM)",NA,"1","80% Wood 20% Metal","No","WLK0496-PB",0.65
"HOM","COO","352239","Wilko Wooden Heart Frame","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","406797","Wilko Country Classic Cube Calendar","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","407367","Wilko Utility Hanging Wall Plaque","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","407369","Wilko Glass Photo Frame","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","407378","Wilko Glass Bottle Gold","Wilko",NA,"Gold",NA,NA,"No",NA,0.883333333333333
"HOM","COO","418080","Wilko Standing Stag GoldSanctuary Range","Wilko",NA,NA,NA,"Resin","No",NA,0.883333333333333
"HOM","COO","427152","Wilko Love Multi Picture Frame","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427155","Wilko Decorative Chalkboard","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427157","Wilko Heart Clock","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427160","Wilko Key Shaped Clock and Calendar","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427164","Wilko Amazing Things Heart Plaque","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427166","Wilko Love You to The Moon Plaque","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","447164","Wilko Light Up Word Block","Wilko",NA,NA,"1","MDF","No","WLK0465-1",0.65
"HOM","COO","447167","Wilko Wooden Memory Box","Wilko",NA,NA,"1","MDF, glass","No","WLK0456",0.65
"HOM","COO","447178","Wilko Hessian Love Bunting","Wilko",NA,NA,NA,"Fabric","No",NA,0.883333333333333
"HOM","COO","455676","Wilko Light Up Word Plaque","Wilko","3.5 x 20 x 30cm","Red","1",NA,NA,NA,1
"HOM","COO","455685","Wilko Love Letters Plaque","Wilko","9 x 10 x 59.5cm","Cream","1","MDF","No",NA,0.65
"HOM","COO","456075","Wilko Trinket Box","Wilko","13 x 13 x 7.5cm","Cream","1","Ceramic","No",NA,0.65
"TOI","XMS","456908","Botanica Hanging Heart Decoration","Wilko",NA,NA,NA,NA,NA,NA,0.716666666666667
