"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"DIY","MOT","230455","Wilko Windscreen Wiper Blade  Single 16in","Wilko","16in",NA,"1",NA,"No",0.65
"DIY","MOT","230456","Wilko Windscreen Wiper Blade Single 17in","Wilko","17in",NA,NA,NA,"Yes",0.65
"DIY","MOT","230457","Wilko Windscreen Wiper Blade Single 18in","Wilko","18in",NA,NA,NA,"No",0.65
"DIY","MOT","230458","Wilko Windscreen Wiper Blade Single 19in","Wilko","19in",NA,NA,NA,"No",0.65
"DIY","MOT","230459","Wilko Windscreen Wiper Blade Single 20in","Wilko","20in",NA,NA,NA,"No",0.65
"DIY","MOT","230460","Wilko Windscreen Wiper Blade Single 21in","Wilko","21in",NA,NA,NA,"No",0.65
"DIY","MOT","230461","Wilko Windscreen Wiper Blade  Single 22in","Wilko","22in",NA,NA,NA,"No",0.65
"DIY","MOT","345611","Wilko Conventional Wiper Blade 600mm","Wilko",NA,NA,"1",NA,"No",0.65
"DIY","MOT","345612","Wilko Conventional Wiper Blade 650mm","Wilko","26in","Black","1",NA,"No",0.65
"DIY","MOT","427235","Wilko 14in Hybrid Blade Frameless","Wilko",NA,NA,"1","Plastic","No",0.65
"DIY","MOT","427237","Wilko Flexible Frameless Wiper Blade 16in","Wilko",NA,NA,"1","Plastic","No",0.65
"DIY","MOT","427239","Wilko Flexible Frameless Wiper Blade 18in","Wilko",NA,NA,"1","Plastic","No",0.65
"DIY","MOT","427240","Wilko Flexible Frameless Wiper Blade 19in","Wilko",NA,NA,"1","Plastic","No",0.65
"DIY","MOT","427241","Wilko Flexible Frameless Wiper Blade 20in","Wilko",NA,NA,"1","Plastic","No",0.65
"DIY","MOT","427242","Wilko Flexible Frameless Wiper Blade 21in","Wilko",NA,NA,"1","Plastic","No",0.65
"DIY","MOT","427243","Wilko Flexible Frameless Wiper Blade 22in","Wilko",NA,NA,"1","Plastic","No",0.65
"DIY","MOT","427244","Wilko Flexible Frameless Wiper Blade 24in","Wilko",NA,NA,"1","Plastic","No",0.65
"DIY","MOT","427245","Wilko Flexible Frameless Wiper Blade 26in","Wilko",NA,NA,"1","Plastic","No",0.65
