"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"HOM","CUS","311468","Wilko Cushion Inner Duck Feather and Down45 x 45cm","Wilko","45 x 45cm","White","1","100% Cotton",NA,"Dry Clean Only",1
"HOM","CUS","450851","Wilko Crushed Velvet Cushion Red 43x43cm","Wilko",NA,NA,"1",NA,"No",NA,0.65
"HOM","CUS","452418","Wilko Velour Cushion Red 50x50cm","Wilko","50 x 50cm",NA,"1",NA,NA,NA,0.85
"HOM","CUS","452419","Wilko Velour Cushion Charcoal 50x50cm","Wilko","50 x 50cm",NA,"1",NA,NA,NA,0.85
"HOM","CUS","452420","Wilko Velour Cushion Cream 50x50cm","Wilko","50 x 50cm",NA,"1",NA,NA,NA,0.85
"HOM","CUT","325473","Wilko Floral Cushion Red 43 x 43cm","Wilko","43x43cm","Red",NA,"100% Cotton","No",NA,1
"HOM","CUT","446551","Wilko Watercolour Floral Cushion 43x43cm","Wilko","43 x 43cm","Multi",NA,NA,"No",NA,0.941666666666667
"HOM","CUT","446579","Wilko Striped Chenille Cushion Red","Wilko","43 x 43cm",NA,NA,NA,"No",NA,0.883333333333333
"HOM","CUT","446596","Wilko Striped Chenille Cushion Duck Egg 43x43cm","Wilko","43 x 43cm",NA,NA,NA,"No",NA,0.883333333333333
"HOM","CUT","455661","Wilko Scandi Red Cushion 43 x 43cm","Wilko","43 x 43cm","Red","1","Polyester, cotton viscose",NA,"Wash at 40",1
"HOM","CUT","455664","Wilko Stag Cushion 43 x 43cm","Wilko","43 x 43cm",NA,"1",NA,"No","Wash at 40",0.65
"HOM","CUT","455731","Wilko Butterfly Cushion 43 x 43cm","Wilko","43 x 43cm","Blue",NA,NA,"No",NA,0.941666666666667
"HOM","CUT","455733","Wilko Velour Cushion Mink 50 x 50cm","Wilko","50 x 50cm",NA,NA,NA,"No",NA,0.883333333333333
"HOM","CUT","455738","Wilko Velour Cushion Green 50 x 50cm","Wilko","50 x 50cm","Green",NA,NA,"No",NA,0.941666666666667
"HOM","CUT","455743","Wilko Velour Cushion Pink 50 x 50cm","Wilko","50 x 50cm","Pink",NA,NA,"No",NA,0.941666666666667
