"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"TOY","POC","320689","Wilko Play Parp Putty","Wilko",NA,"1",NA,NA,"3+ Years",0.883333333333333
"TOY","POC","320694","Wilko Play Chitter Chatter Teeth","Wilko","Multi","1",NA,NA,"3+ Years",0.941666666666667
"TOY","POC","334752","Wilko Play Stretchy Rope","Wilko",NA,"1",NA,NA,"3+ Years",0.883333333333333
"TOY","POC","349688","Wilko Play Pop A-Matic Gun","Wilko","Multi","1",NA,NA,"4+",0.941666666666667
"TOY","POC","349822","Wilko Play Globe Ball","Wilko",NA,"1",NA,NA,"3+ Years",0.883333333333333
"TOY","POC","417706","Wilko Robotic Hand Claw","Wilko","Multi","1",NA,NA,"1+ Years",0.941666666666667
"TOY","POC","417707","Wilko Light Up Smilers","Wilko",NA,"1",NA,NA,"3+ Years",0.883333333333333
"TOY","POC","417708","Wilko Glitter Ball Light Up Balls","Wilko",NA,"1",NA,NA,"3+ Years",0.883333333333333
"TOY","POC","417715","Wilko Pin Art","Wilko",NA,"1",NA,NA,"4+",0.883333333333333
"TOY","POC","427890","Wilko Grab It Claw","Wilko",NA,"1",NA,NA,"3+ Years",0.883333333333333
"TOY","POC","433263","Wilko Super Stretchy Animals","Wilko",NA,"1",NA,NA,"4+",0.883333333333333
"TOY","POC","433264","Wilko Mega Magnet","Wilko",NA,"1",NA,NA,"4+",0.883333333333333
"TOY","POC","447474","Wilko Glow in The Dark Yoyo","Wilko",NA,"1",NA,NA,"3+ Years",0.883333333333333
"TOY","POC","456917","Wilko Prankz Cracked Screen","Wilko","Multi","1",NA,NA,"4+",0.941666666666667
"TOY","POC","456919","Wilko Dino Egg","Wilko","Multi","1",NA,NA,"4+",0.941666666666667
"TOY","POC","456923","Wilko X-Botz Robot","Wilko","Multi","1",NA,NA,"4+",0.941666666666667
"TOY","POC","456924","Wilko Flarp Poo Potty","Wilko","Multi","1",NA,NA,"4+",0.941666666666667
"TOY","POC","456925","Wilko Lab Putty LED Scribbler","Wilko","Multi","1",NA,NA,"4+",0.941666666666667
"TOY","SST","408507","Wilko Play Spikey Light Up Ball","Wilko",NA,"1","Plastic","No","3+",0.65
