"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"DIY","ELE","454319","Thor Premium HDMI Cable 1.5m","Thor","1.5m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454320","Thor Premium Flat HDMI Cable 1.5m","Thor","1.5m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","342376","Wilko Scart Cable 1m","Wilko","100x5.5x1.5cm",NA,NA,NA,NA,0.825
"DIY","ELE","342379","Wilko Hdmi Coupler","Wilko","3x2.2x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342381","Wilko Satellite F Connectors 2pk","Wilko","2x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342382","Wilko Coaxial Y   Splitter","Wilko","5.5x4.5x1.4cm",NA,NA,NA,NA,0.825
"DIY","ELE","342509","Wilko Satellite F Connecting Kit","Wilko","2x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342510","Wilko Tv/FM Coax  Coupler 2pk","Wilko","2.5x1.5x1.4cm",NA,NA,NA,NA,0.825
"DIY","ELE","342511","Wilko Angled Coax Connector","Wilko","3x2.5x1.5cm",NA,NA,NA,NA,0.825
"DIY","ELE","342513","Wilko Tv/FM Coax  Plugs 2pk","Wilko","4x2x1.5cm",NA,NA,NA,NA,0.825
"DIY","ELE","342514","Wilko TV/FM Coax Connecting Kit","Wilko","3x2x2cm",NA,NA,NA,NA,0.825
"DIY","ELE","342515","Wilko Flush Coaxial Outlet Plates","Wilko","9x8.5x1.5cm",NA,NA,NA,NA,0.825
"DIY","ELE","342516","Wilko Surface Mount Coax Outlet Tv/FM","Wilko","5x3.2x2.5cm",NA,NA,NA,NA,0.825
"DIY","ELE","342517","Wilko Tv/FM Coax  Socket 2pk","Wilko","3x1.5x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342519","Wilko Telephone Extension Cable 5m","Wilko","500x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342520","Wilko Telephone Extension Cable 10M","Wilko","1000x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342521","Wilko Telephone Adaptor Double","Wilko","5x2x4cm",NA,NA,NA,NA,0.825
"DIY","ELE","342522","Wilko Telephone Adaptor Triple","Wilko","5.5x2.5x4.5cm",NA,NA,NA,NA,0.825
"DIY","ELE","342523","Wilko Telephone Extension Kit 20M","Wilko","2000x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342524","Wilko Surface Mounted Telephone Extension Socket","Wilko","7x7x3cm",NA,NA,NA,NA,0.825
"DIY","ELE","342527","Wilko Coax Cable 1m","Wilko","100x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342529","Wilko Coax Cable 5m","Wilko","500x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342542","Wilko Satellite F Cable 5m","Wilko","500x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342544","Wilko 2 Phono To 2 Phono Cable 1.5m","Wilko","150x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342546","Wilko 3.5mm Stereo To 2 Phono Cable 1.5m","Wilko","150x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342547","Wilko 3 Phono To 3 Phono Cable 1.5m","Wilko","150x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342551","Wilko Universal Optical Cable 1.5m","Wilko","150x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342552","Wilko Hdmi Cable 1m","Wilko","100x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342634","Wilko Tv Aerial  Ext. Kit 15m","Wilko","1500x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342640","Wilko 4G 32 Element Digital Tv Aerial Kit","Wilko","60x49x80cm",NA,NA,NA,NA,0.825
"DIY","ELE","342641","Wilko 4G Flat Indoor amplified Digital Aerial","Wilko","16.5x20x5cm",NA,NA,NA,NA,0.825
"DIY","ELE","342647","Wilko Slimline Telephone Extension Kit 25m","Wilko","2500x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","342651","Wilko Usb 2.0 Cabling  Kit 1.8M","Wilko","180x1x1cm",NA,"1","Steel, PVC, Copper","No",0.65
"DIY","ELE","342653","Wilko Micro Usb Cable 3m","Wilko","300x1x1cm",NA,"1","Steel, PVC, Copper","No",0.65
"DIY","ELE","342654","Wilko Adsl Micro Filter","Wilko","5.5x4x2.5cm",NA,NA,NA,NA,0.825
"DIY","ELE","342661","Wilko 3.5mm Jack To Jack Cable 1m","Wilko","100x1x1cm",NA,NA,NA,NA,0.825
"DIY","ELE","454321","Wilko HDMI Cable 2m","Wilko","2m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454322","Wilko HDMI Cable 5m","Wilko","5m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454323","Wilko HDMI Cable with Mini / Micro HDMI Adaptor 1m","Wilko","1m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454324","Wilko Satellite F Cable 2m","Wilko","2m","White",NA,NA,NA,0.883333333333333
"DIY","ELE","454326","Wilko Coax Cable 2m","Wilko","2m","White",NA,NA,NA,0.883333333333333
"DIY","ELE","454328","Wilko Scart Cable 2m","Wilko","2m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454329","Wilko 3.5mm Jack To Jack Cable 3m","Wilko","3m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454331","Wilko 3.5mm Jack Extension Cable 3m","Wilko","3m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454335","Wilko Satellite F Cable 1m","Wilko","1m","White",NA,NA,NA,0.883333333333333
"DIY","ELE","454340","Wilko VGA Cable 1.8m","Wilko","1.8m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454341","Wilko Cat5e Network Cable 3m","Wilko","3m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454342","Wilko Cat5e Network Cable 5m","Wilko","5m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454349","Wilko Fax Modem Cable 1.8m","Wilko","1.8m","White",NA,NA,NA,0.883333333333333
"DIY","ELE","454350","Wilko ADSL Modem Cable 3m","Wilko","3m","Black",NA,NA,NA,0.883333333333333
"DIY","ELE","454351","Wilko 2G Brushed Faceplate","Wilko","2 x 9 x 14.5cm","White",NA,NA,NA,0.883333333333333
"DIY","ELE","454355","Wilko 1 Way TV Signal Booster","Wilko","2.5 x 8 x 8cm","Blue",NA,NA,NA,0.883333333333333
"DIY","ELE","454356","Wilko 4 Way TV Signal Booster","Wilko","2.5 x 8 x 8cm","Blue",NA,NA,NA,0.883333333333333
"DIY","ELE","454357","Wilko Unamplified Indoor Loop Aerial","Wilko","18 x 17 x 12cm","Black",NA,NA,NA,0.883333333333333
