"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Washable","Power","Age","DQ Score"
"TOY","FAN","438670","Pony Cycle Ride On Toy","Pony Cycle","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","320670","Wilko Baby Doll Nappies 5pk","Wilko","White","5",NA,NA,"Do Not Wash",NA,"3 Years +",0.95
"TOY","FAN","320673","Wilko Newborn Changing Bag","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","335998","Wilko Let's Pretend Princess Doll Assortment","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","336012","Wilko Time For Tea Doll","Wilko","Multi","1",NA,NA,"Do Not Wash",NA,"3 Years +",0.95
"TOY","FAN","350590","Wilko Baby Doll Carrier","Wilko","Multi","1",NA,NA,"Hand Wash Only",NA,"3 Years +",0.95
"TOY","FAN","417312","Wilko Play Princess Dolls 5pk Assortment","Wilko","Multi","5",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","419488","Wilko Play Doll Pushchair","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","438453","Wilko Set of 10 Mini Dolls","Wilko","Multi","10",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","438660","Wilko Baby Bath Time Set","Wilko","Multi","1",NA,NA,NA,NA,"2+ Years",0.9
"TOY","FAN","438661","Wilko Make Me Better Doll","Wilko","Multi","1","Plastic","No",NA,NA,"3 Years +",0.65
"TOY","FAN","438662","Wilko Potty And Bottle Set","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","438663","Wilko Twin Dolls","Wilko","Multi","1",NA,NA,NA,NA,"2 Years +",0.9
"TOY","FAN","438664","Wilko Milk and Juice Magic Feeding Bottles","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","456471","Wilko Doll Bed, High Chair and Swing Set","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","456474","Wilko Baby Accessories with Bag 50pcs","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","FAN","456607","Wilko Single Doll Outfit","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.9
"TOY","PRE","305999","Wilko My First Mobile","Wilko","Multi","1",NA,NA,NA,NA,NA,0.93
"TOY","PRE","306003","Wilko Remote Control","Wilko","Multi","1",NA,NA,NA,NA,NA,0.93
"TOY","PRE","320591","Wilko Play Little Medics Set","Wilko","Multi","1",NA,NA,NA,NA,NA,0.93
"TOY","PRE","320856","Wilko Play Cash Register","Wilko","Multi","1","Plastic","No",NA,"3x AA Batteries Included","3 Years +",0.65
"TOY","PRE","336211","Wilko Play Police Helmet","Wilko","Multi","1",NA,NA,NA,NA,NA,0.93
"TOY","PRE","336212","Wilko Play Firefighter Helmet","Wilko","Multi","1",NA,NA,NA,NA,NA,0.93
"TOY","PRE","336215","Wilko Play Builders Helmet","Wilko","Multi","1",NA,NA,NA,NA,NA,0.93
"TOY","PRE","350955","Wilko Wind Up Bath Toy Assorted","Wilko","Multi","1",NA,NA,NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","402734","Wilko Play Kettle","Wilko","Multi","1",NA,NA,NA,"2x AA Batteries Included","3 Years +",1
"TOY","PRE","402735","Wilko Play Toaster","Wilko","Multi","1",NA,NA,NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","417307","Wilko Water Wheel Duck","Wilko","Multi","1",NA,NA,NA,NA,"12 Months +",0.941666666666667
"TOY","PRE","438665","Wilko Play Multi Tool Set","Wilko","Multi","1",NA,NA,NA,NA,NA,0.93
"TOY","PRE","438666","Wilko Bath Time Light Up Floats","Wilko","Multi","1",NA,NA,NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","438667","Wilko Play Tea Set In Carry Case","Wilko","Multi","1",NA,NA,NA,NA,NA,0.93
"TOY","PRE","438668","Wilko Safari Disc Drum","Wilko","Multi","1",NA,NA,NA,NA,"2 Years +",0.941666666666667
