"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"DIY","TOO","344216","Wilko Junior Hacksaw 6in","Wilko","6in","1",NA,1
"DIY","TOO","344219","Wilko Adjustable  Hacksaw with Plastic Handle 12in","Wilko","12in",NA,NA,0.9125
"DIY","TOO","344221","Wilko Tubular Bow Saw 24in","Wilko","24in","1",NA,1
"DIY","TOO","344222","Wilko Bow Saw Blade 24in","Wilko","24in",NA,NA,0.9125
"DIY","TOO","344223","Wilko Hacksaw High Speed Steel Blades 12in","Wilko","12in","1pk",NA,1
"DIY","TOO","344225","Wilko Coping Saw Blade 165mm","Wilko","165mm","1",NA,1
"DIY","TOO","344227","Wilko Hacksaw Inland Blade 6In","Wilko","6in","1pk",NA,1
"DIY","TOO","344228","Wilko Hacksaw Blades 12in","Wilko","12in","1pk",NA,1
"DIY","TOO","344229","Wilko Coping Saw  Blades 5 Assorted","Wilko",NA,"5pcs",NA,0.9125
"DIY","TOO","344231","Wilko Jab Saw 150mm","Wilko","150mm",NA,NA,0.9125
"DIY","TOO","344233","Wilko Close Quarter Saw","Wilko",NA,"1",NA,0.9125
"DIY","TOO","344236","Wilko Tenon Saw Soft Grip Handle 250mm","Wilko","250mm","1",NA,1
"DIY","TOO","344237","Wilko Tool Box Saw Soft Grip Handle 350mm","Wilko","350mm",NA,NA,0.9125
"DIY","TOO","344238","Wilko Hand Saw Soft Grip Handle 550mm","Wilko","550mm","1",NA,1
"DIY","TOO","344239","Wilko Hand Saw Soft Grip Handle 550mm","Wilko","550mm",NA,NA,0.9125
"DIY","TOO","344220","Wilko Professional Hacksaw 12in","Wilko Best","12in",NA,NA,0.8625
"DIY","TOO","344243","Wilko Best Tool Box Saw 350mm","Wilko Best","350mm",NA,NA,0.9125
"DIY","TOO","344245","Wilko Best Hand Saw Aluminium Handle  550mm","Wilko Best","550mm","1",NA,1
"DIY","TOO","344213","Wilko Functional Junior Hacksaw 6in","Wilko Functional",NA,"1",NA,0.9125
"DIY","TOO","344234","Wilko Tenon Saw 250mm","Wilko Functional","250mm",NA,NA,0.8625
"DIY","TOO","344235","Wilko Functional Hand Saw 550mm","Wilko Functional","550mm",NA,NA,0.9125
"GAR","SPC","403964","Wilko Garden Trowel and Fork Set","Wilko",NA,"1","No",0.65
"GAR","SPC","403965","Wilko Bypass Secateurs Gift Box","Wilko",NA,"1","No",0.65
"GAR","TOO","135746","Wilko Pruner Vinyl Grip Handles 8in","Wilko",NA,NA,NA,1
"GAR","TOO","447467","Wilko Garden Tool Handle","Wilko",NA,NA,NA,1
