"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Washable","DQ Score"
"HOM","RUG","325439","Wilko Tamara Rug Green 120 x 170cm","Wilko","120x170cm","Green","100% Polypropylene","Spot Clean Only",1
"HOM","RUG","325441","Wilko Tamara Rug Plum 120 x 170cm","Wilko","120x170cm","Purple","100% Polypropylene","Spot Clean Only",1
"HOM","RUG","325453","Wilko Rug Grip 90 x 150cm","Wilko","90x150cm","White",NA,"Spot Clean Only",0.941666666666667
"HOM","RUG","338975","Wilko Tamara Rug  Charcoal 120 x 170cm","Wilko","120x170cm","Grey",NA,NA,0.883333333333333
"HOM","RUG","409036","Wilko Sparkle Rug Charcoal 120 x 170cm","Wilko","120x170cm","Grey",NA,NA,0.883333333333333
"HOM","RUG","409039","Wilko Sparkle Rug Red 120 x 170cm","Wilko","120x170cm","Red",NA,NA,0.883333333333333
"HOM","RUG","426972","Wilko Evelyn Floral Rug Red 120 x 170cm","Wilko","120cm x 170cm",NA,"100% Polypropylene pile",NA,0.883333333333333
"HOM","RUG","426974","Wilko Techno Floral Natural 120 x 170cm","Wilko","120cm x 170cm",NA,"100% Polypropylene pile",NA,0.883333333333333
"HOM","RUG","445697","Wilko Rug Carved Geo Natural 120x170cm","Wilko","120 x 170cm","Cream","100% Polypropylene Pile","Spot Clean Only",1
"HOM","RUG","445703","Wilko Rug Sparkle Charcoal 80 x 150cm","Wilko","80 x 150cm",NA,"100% Polyester","Spot Clean Only",0.941666666666667
