"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Age","Model Number","DQ Score"
"TOY","GAM","426520","Buki Light Experiments","Buki","Box size 26.9 x 6 x 24.3 cm",NA,"1","Plastic","No","Requires Batteries 2 x AA","8 years+","2049",0.65
"TOY","GAM","426521","Buki Chimie Chemistry Lab","Buki","Box size 30 x 8 x 30 cm",NA,"1","Plastic","No",NA,"8 years+","8363",0.65
"TOY","GAM","426522","Buki Cristaux Crystal Lab Experiments","Buki",NA,NA,"1",NA,NA,NA,"8 years+",NA,0.883333333333333
"TOY","SST","425819","Waterball","Buitenspeel","Dimensions of ball 50 cm diameter","Multi","1","Plastic","Yes",NA,"3 years +","GA015",0.6
"TOY","SST","425820","Octopus Waterparty","Buitenspeel",NA,"Multi","1",NA,NA,NA,"3 years +",NA,0.891666666666667
"TOY","SST","425821","Disc Deluxe Target and Dart Throwing Game","Buitenspeel",NA,"Multi","1",NA,NA,NA,"6 years +",NA,0.891666666666667
"TOY","SST","425822","Giant Playing Cards","Buitenspeel",NA,"Multi","1",NA,NA,NA,"8 years +",NA,0.891666666666667
"TOY","SST","425824","Tin Throwing Game","Buitenspeel",NA,"Multi","1",NA,NA,NA,"3 years +",NA,0.891666666666667
"TOY","SST","425827","Jumping Cow White","Buitenspeel",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"TOY","SST","425829","Parachute","Buitenspeel",NA,"Multi","1",NA,NA,NA,"4 years +",NA,0.891666666666667
"TOY","SST","425806","Rolly Kiddy Classic Tractor And  Trailer","Rolly","Dimensions of assembled tractor with trailer 134 x","Blue",NA,NA,NA,NA,"2.5 - 5 years",NA,1
"TOY","SST","425807","Rolly Kiddy Futura Tractor And Frontloader","Rolly",NA,"Red","1",NA,NA,NA,"2.5 - 5 years",NA,0.941666666666667
"TOY","SST","425809","Jcb Dumper","Rolly","Dimensions of assembled dumper 93 x 44 x 52 cm","Yellow","1","Metal and plastic","Yes",NA,"2.5 - 5 years","24247",0.6
"TOY","SST","425811","Cat Mobile 360 Degree Excavator","Rolly","Dimensions of assembled excavator 102 x 43 x 74 cm","Yellow","1","Metal and plastic","Yes",NA,"3 - 5 years","421015",0.6
"TOY","SST","425812","John Deere Mobile 360 Degree Excavator","Rolly",NA,"Green","1",NA,NA,NA,"3 - 5 years",NA,0.891666666666667
"TOY","SST","425813","John Deere Trio Trac With Electronic SteeringWheel and Trailer","Rolly",NA,"Green","1",NA,NA,NA,"2.5 - 5 years",NA,0.891666666666667
