"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"FOO","CHO","256601","Galaxy Chocolate Block 390g","Galaxy","390g","1","No",0.65
"FOO","CHO","236914","Maltesers Box Large 360g","Mars","360g","1","No",0.6
"FOO","CHO","256600","Celebrations 380g","Mars","380g","1","No",0.6
"FOO","CHO","420354","Mars Snacksize 4pk 135g","Mars","135g","4",NA,1
"FOO","SP2","450032","Celebrations Gift Box 320g","Celebrations","320g","1","No",0.65
"FOO","SXM","258309","Galaxy Collection Selection Box 259g","Galaxy","259g","1","No",0.65
"FOO","SXM","236912","Maltesers and friends Selection Box Large 213g","Maltesers","213g","1","No",0.65
"FOO","SXM","423816","Merryteaser Mini Reindeer Bag 59g","Maltesers",NA,"5","No",0.6
"FOO","SXM","338490","Mars Merryteaser Chocolate Reindeer 29g","Mars","29g","1","No",0.65
"FOO","SXM","441723","Celebrations Pouch 450g","Mars","450g","1","No",0.6
