"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"KIT","BAP","184129","Wilko Plastic Funnels Set of 3","Wilko","3 Pack","White","1",1
"KIT","GAD","139888","Wilko Can Opener","Wilko","Single",NA,NA,0.825
