"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","DQ Score"
"HOM","LIG","325659","Wilko Ceramic Lamp Parchment","Wilko","Single","Cream","1","No","Mains",1
"HOM","LIG","325660","Wilko Ceramic Table Lamp Black","Wilko","Single","Black",NA,"No","Mains",0.95
"HOM","LIG","325661","Wilko Ceramic Table Lamp Duck Egg","Wilko","Single","Blue",NA,"No","Mains",0.95
"HOM","LIG","325662","Wilko Ceramic Lamp Chilli Pepper","Wilko","Single","Red",NA,"No","Mains",0.95
"HOM","LIG","325663","Wilko Ceramic Table Lamp Magenta","Wilko","Single","Red",NA,"No","Mains",0.95
"HOM","LIG","325714","Wilko Sweetie Jar Lamp Champagne","Wilko","Single",NA,"1","No","Mains",0.95
"HOM","LIG","325716","Wilko Dreamweave Lantern Cream","Wilko","Single","Cream",NA,"No","Mains",0.95
"HOM","LIG","341425","Wilko Allium Laser Cut Lamp Cream","Wilko",NA,"Cream","1","No",NA,0.9
"HOM","LIG","341429","Wilko Allium Laser Cut Drum Cream","Wilko",NA,"Cream","1",NA,NA,0.93
"HOM","LIG","407069","Wilko Cut Glass Table Lamp Large Clear","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","413977","Wilko Floral Laser Table Lamp Duck Egg","Wilko",NA,NA,"1","No","SES Candle 42W Eco Halogen / 11W Energy Candle",0.9
"HOM","LIG","413979","Wilko Floral Laser Pendant Duck Egg","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","423269","Wilko Glass Balls Table Lamp Cool Grey","Wilko","30x30x57cm",NA,"1","No","60W",0.95
"HOM","LIG","423270","Wilko Glass Balls Table Lamp Parchment","Wilko","30x30x57cm",NA,"1","No","60W",0.95
"HOM","LIG","423273","Wilko Glass Table Lamp Champagne Gold","Wilko","30x30x57cm",NA,"1","No","60W",0.95
"HOM","LIG","427922","Wilko Bottle Table Lamp White","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","436824","Wilko Table Lamp Rose","Wilko",NA,NA,"1","Yes",NA,0.85
"HOM","LIG","436825","Wilko Laser Cut Table Lamp Grey","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","436826","Wilko Pleated Shade Cream","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","436827","Wilko Pleated Shade Duck Egg","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","436828","Wilko Pleated Shade Mauve","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","436829","Wilko Evelyn Floral Shade Red","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","436830","Wilko Techno Flower Shade Neutral","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","LIG","436831","Wilko Ceramic Table Lamp Grey","Wilko",NA,NA,"1","Yes",NA,0.85
"HOM","LIG","436832","Wilko Isabelle Table Lamp Silver","Wilko",NA,NA,"1","Yes",NA,0.85
"HOM","LIG","436833","Wilko Textured Table Lamp","Wilko",NA,NA,"1","Yes",NA,0.85
"HOM","LIG","436834","Wilko With Love Table Lamp","Wilko",NA,NA,"1","Yes",NA,0.85
"HOM","LIG","436965","Wilko Laser Cut Shade Grey","Wilko",NA,"Grey","1",NA,NA,0.93
"HOM","LIG","456318","Wilko Table Lamp Marble","Wilko","30 x 30 x 48cm",NA,"1","No",NA,0.9
"HOM","LIG","456319","Wilko Lamp Ceramic White","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","456320","Wilko Lamp Small Glass Champagne","Wilko","18 x 28 x 37cm",NA,"1","No",NA,0.9
"HOM","LIG","456321","Wilko Lamp Small Glass Smoke","Wilko","28 x 28 x 37cm",NA,"1","No",NA,0.9
"HOM","LIG","456322","Wilko Lamp Textured Carved Grey","Wilko","30 x 30 x 49cm",NA,"1","No",NA,0.9
"HOM","LIG","456890","Wilko Paper Textured Shade","Wilko","21.5 x 7.5 x 21.5cm",NA,"1",NA,NA,0.93
