"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"DEC","PRP","451167","3M Sandblaster Sanding Sponge 180 Grit Fine","3M","11 x 2.5 x 5.7cm","Gold","1","Aluminium Oxide Mineral, Paper Backing",NA,0.9
"DEC","PRP","451168","3M Sandblaster Sanding Sponge 100 Grit Medium","3M","37.5 x 25 x 0.1cm","Purple","1","Aluminium Oxide Mineral, Paper Backing",NA,0.9
"DEC","PRP","451169","3M Sandblaster Sponge 60 Grit Coarse","3M","26.25 x 37.5 x 1cm","Green","1","Aluminium Oxide Mineral, Paper Backing",NA,0.9
"DEC","PRP","454503","3M Sandblaster Sandpaper 150 Grit Medium 3pk","3M","23.2 x 30.5 x 0.4cm","Yellow","3pk","Aluminium Oxide Mineral, Paper Backing",NA,0.9
"DEC","PRP","454504","3M Sandblaster Sandpaper 240 Grit Fine 3pk","3M","23.2 x 30.5 x 0.4cm","Yellow","3pk","Aluminium Oxide Mineral, Paper Backing",NA,0.9
"DEC","PRP","454505","3M Sandblaster Sandpaper 60 Grit Coarse 3pk","3M","23.2 x 30.5 x 0.4cm","Yellow","3pk","Aluminium Oxide Mineral, Paper Backing","No",0.65
"DIY","FIX","343538","Command Damage Free Picture Hanging Strips Small White Set of 4","Command","Small",NA,"1",NA,NA,0.883333333333333
"DIY","FIX","343539","Command Damage Free Picture Hanging Strips MediumWhite Set of 4","Command","Medium",NA,"4",NA,NA,0.883333333333333
"DIY","FIX","343540","Command Damage Free Picture Hanging Strips LargeWhite Set of 4","Command","Large",NA,NA,NA,NA,0.825
"DIY","FIX","343541","Command Damage Free General Purpose Hanging Stripsand Hooks White Small 2 Hooks and 4 Strips","Command","Small",NA,NA,NA,NA,0.825
"DIY","FIX","343542","Command Damage Free General Purpose Hanging Stripsand Hooks White Medium 2 Hooks and 4 Strips","Command","Medium",NA,NA,NA,NA,0.825
"DIY","FIX","343543","Command Damage Free General Purpose Hanging HooksChrome Effect 3 Hooks and 4 Strips","Command",NA,NA,"1",NA,NA,0.825
"DIY","FIX","343544","Command Damage Free General Purpose Hanging HookClear Mini 6 Hooks and 3 Strips","Command","Mini",NA,NA,NA,NA,0.825
"DIY","FIX","343546","Command Damage Free Utensil Hanging Hook Clear3 Hooks and 4 Strips","Command",NA,"Clear","1",NA,NA,0.883333333333333
"DIY","FIX","408538","Command Damage Free Decorating Clips Clear 20pk","Command",NA,"Clear","20","Plastic",NA,0.891666666666667
"DIY","FIX","408539","Command Damage Free Medium Hooks Clear 2pk","Command",NA,"Clear","2",NA,NA,0.833333333333333
"DIY","FIX","444587","Command Damage Free Easel Back Picture HangingStrips 2pk","Command",NA,"White","2",NA,NA,0.833333333333333
"DIY","FIX","444588","Command Damage Free Large Canvas Hanger","Command",NA,"White","1","Plastic",NA,0.891666666666667
"DIY","FIX","444589","Command Damage Free Jumbo Canvas Hanger","Command",NA,"White","1","Plastic",NA,0.891666666666667
"DIY","FIX","444594","Command Damage Free Broom Gripper","Command",NA,"White","1","Plastic",NA,0.891666666666667
"SBK","ADH","431871","Scotch Packaging Tape 48mm x 20.3m","Scotch","L x 0.0710m W x 0.0600m H x 0.1040m","Brown","1",NA,NA,1
"SBK","ADH","431872","Scotch Brown Packaging Tape 66M x 50mm","Scotch","L x 0.120m W x 0.1020 H x 0.500m","Brown","1",NA,NA,1
"SBK","ADH","433055","Scotch Universal Comfort Scissors 18cm","Scotch","L x 0.1050m W x 0.0130m H x 0.2710m","Red","1",NA,NA,1
"SBK","DES","431850","Post-It Super Sticky Lined Neon Pad 75 Notes","Post It","L: 0.100m W0.1010m H:0.1010m","Multi","1",NA,NA,0.95
"SBK","DES","431856","Post-It Super Sticky Heart Shapes","Post It","L:0.1040m W0.0120m H0.1210m","Pink","1",NA,NA,0.95
"SBK","DES","431858","Post-It Colour Mini Pack 3 x 100 Sheet Pads","Post It","L:0.600m W:0.100m H:0.1600m","Multi","1",NA,NA,0.95
"SBK","DES","431876","Post-It Super Sticky Flowpack 75 Notes","Post It","L:0.0870m W:0.0100m H:0.1200m","Multi","1",NA,NA,0.95
"SBK","DES","431861","Scotch Magic Tape 3 Refill Roll 19mm x 25m","Scotch","L:0.1370m W0.0880m H:0.0550m",NA,"3",NA,NA,0.833333333333333
"SBK","DES","431863","Scotch Magic Tapecarded Disp Roll 81925D","Scotch","L:0.1000m  W:0.0250m    H:0.1200m",NA,"1",NA,NA,0.883333333333333
"SBK","DES","431865","Scotch Tape Disp Fuschia 1 Roll Magic","Scotch","L:0.0600m  W:0.1580m   H:0.0690","Pink","1",NA,NA,0.941666666666667
