"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"HOM","FUR","ck00013","Clovelly Large Bookcase Rustic Oak","Kingston Furniture","Large","Wood",NA,"MDF , Chipboard","No",0.95
"HOM","FUR","ck00014","Clovelly Large Side board Rustic Oak","Kingston Furniture","Large","Wood",NA,"MDF , Chipboard","No",0.95
"HOM","FUR","ck00015","Clovelly Compact Side board Rustic Oak","Kingston Furniture",NA,"Wood",NA,"MDF , Chipboard","No",0.891666666666667
"HOM","FUR","ck00016","Clovelly Long Entertainment Unit","Kingston Furniture",NA,"Wood",NA,"MDF , Chipboard","No",0.891666666666667
"HOM","FUR","ck00017","Clovelly Coffee Table Rustic Oak","Kingston Furniture",NA,"Wood",NA,"MDF , Chipboard","No",0.891666666666667
"HOM","FUR","ck00018","Clovelly Large Bookcase Vanilla","Kingston Furniture",NA,"Wood",NA,"MDF , Chipboard","No",0.891666666666667
"HOM","FUR","ck00019","Clovelly Large Side board Vanilla","Kingston Furniture",NA,"Wood",NA,"MDF, Chipboard","No",0.891666666666667
"HOM","FUR","ck00020","Clovelly Compact Side board","Kingston Furniture",NA,"Wood",NA,"MDF, Chipboard","No",0.891666666666667
"HOM","FUR","ck00021","Clovelly Long Entertainment Unit","Kingston Furniture",NA,"Wood",NA,"MDF, Chipboard","No",0.891666666666667
"HOM","FUR","ck00022","Clovelly Coffee Table Vanilla","Kingston Furniture",NA,"Wood",NA,"MDF, Chipboard","No",0.891666666666667
"HOM","FUR","ck00023","Penrose 3 Door Glass Display Unit Oak","Kingston Furniture","3 Door","Wood",NA,"MDF, Chipboard","No",0.95
"HOM","FUR","ck00024","Penrose 2 Door Glass Display Unit Oak","Kingston Furniture","2 Door","Wood",NA,"MDF, Chipboard","No",0.95
"HOM","FUR","ck00026","Penrose 2 Door 3 Drawer Sideboard Oak","Kingston Furniture","2 Door, 3 Drawer","Wood",NA,"MDF, Chipboard","No",0.95
"HOM","FUR","ck00027","Penrose 2 Door Side board Oak","Kingston Furniture","2 Door","Wood",NA,"MDF, Chipboard","No",0.95
"HOM","FUR","ck00028","Penrose Corner TV Unit Oak","Kingston Furniture",NA,"Wood",NA,"MDF, Chipboard","No",0.891666666666667
