"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","DQ Score"
"KIT","SPC","439785","Winter Whimsy Cocoa Assorted Flavours Set of 4","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439786","Coffee Syrup Set of 4 Assorted Flavours","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439794","Wilko Christmas Cocktail Baubles wth Mixer Set of3","Wilko","4 pack","1","Various","No",0.65
"KIT","SPC","439795","Cocktail Shaker and Mixer Set Assorted Flavours","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439797","Lab Shot Glass and Mixers Set of 4","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439798","Mini Mason Shot Glasses and Mixers Set of 4","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439799","Day of the Dead Skull Filled with Hot Sauce 740ml","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439804","Hot Sauce Assorted Flavours Set of 4","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439806","Skull Shot Glass and Mixers Set of 4","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439810","Margarita Cocktail Set with Extra Large Glass","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439811","Martini/Cosmo Cocktail Set with Extra Large Glass","Wilko","4 pack","1","Various","No",0.6
"KIT","SPC","439812","Cupcake Mix in a Mug 5 Minutes","Wilko","4 pack","1","Various","No",0.6
