"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","DQ Score"
"HOM","CHI","432850","Wilko Fleece Throw Blue Stars 125 x 150cm","Wilko","125 x 150cm","1","100% POLYESTER",0.9
"HOM","CHI","432857","Wilko Fleece Pink Flowers 125 x 150cm","Wilko","125 x 150cm","1","100% POLYESTER",0.9
