"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"TOI","HOS","134592","Wilko Tights 15 Denier Natural Regular 3pk","Wilko","Regular","Cream","3pk",NA,NA,NA,0.941666666666667
"TOI","HOS","134594","Wilko Sheer Tights 15 Denier Barely Black Large3pk","Wilko","Large","Black","3pk",NA,NA,NA,0.941666666666667
"TOI","HOS","134595","Wilko Tights Mink 15 Denier Large 3pk","Wilko","Large","Brown","3pk",NA,NA,NA,0.941666666666667
"TOI","HOS","179209","Wilko Opaque Tights Black 40 Denier Large 2pk","Wilko","Large",NA,"2pk",NA,NA,NA,0.883333333333333
"TOI","HOS","179210","Wilko Opaque Tights Black 40 Denier Regular 2pk","Wilko","Regular",NA,"2pk",NA,NA,NA,0.883333333333333
"TOI","HOS","179212","Wilko Knee Highs Natural 15 Denier One Size 3pk","Wilko","41824","Cream","3pk",NA,NA,NA,0.941666666666667
"TOI","HOS","179252","Wilko Knee Highs Barely Black 15 Denier One Size3pk","Wilko","41824","Black","3pk",NA,NA,NA,0.941666666666667
"TOI","HOS","179262","Wilko Tights 15 Denier Large Sweet Pepper 3pk","Wilko","Large","Red","3pk",NA,NA,NA,0.941666666666667
"TOI","HOS","179264","Wilko Tights 15 Denier Regular Sweet Pepper 3pk","Wilko","Regular","Red","3pk",NA,NA,NA,0.941666666666667
"TOI","HOS","179274","Wilko Ankle High Barely Black 15 Denier One Size3pk","Wilko","One Size",NA,"3pk",NA,NA,NA,0.883333333333333
"TOI","HOS","246845","Wilko Hold Up Lace Top Sheer Natural One Size","Wilko","One Size","Cream",NA,NA,NA,NA,0.883333333333333
"TOI","HOS","250737","Wilko Fashion Hold Ups Lace Black","Wilko","One Size","Black",NA,NA,NA,NA,0.883333333333333
"TOI","HOS","309946","Wilko Opaque Tights 80 Denier Large 1pk","Wilko","Large",NA,"1pk",NA,NA,NA,0.883333333333333
"TOI","HOS","309948","Wilko Opaque Tights 80 Denier Medum 1pk","Wilko","Medium",NA,"1pk",NA,NA,NA,0.883333333333333
"TOI","HOS","340560","Wilko Opaque Tights with Lycra 40 Denier Large 3pk","Wilko",NA,NA,"3pk",NA,NA,NA,0.825
"TOI","HOS","340561","Wilko Opaque Tights with Lycra 60 Denier Medium3pk","Wilko",NA,"Black","3pk",NA,NA,NA,0.883333333333333
"TOI","HOS","340562","Wilko Opaque Tights with Lycra 60 Denier Large 3pk","Wilko",NA,NA,"3pk",NA,NA,NA,0.825
"TOI","HOS","340568","Wilko Opaque Tights with Lycra 80 Denier Medium3pk","Wilko",NA,NA,"3pk",NA,NA,NA,0.825
"TOI","HOS","340569","Wilko Opaque Tights with Lycra 80 Denier Large 3pk","Wilko",NA,"Black","3pk",NA,NA,NA,0.883333333333333
"TOI","HOS","340735","Wilko Knee High with Lycra 40 Denier 3pk","Wilko",NA,NA,"3pk",NA,NA,NA,0.825
"TOI","HOS","340736","Wilko Ankle High 40 Denier with Lycra 3pk","Wilko",NA,NA,"3pk",NA,NA,NA,0.825
"TOI","HOS","352100","Wilko Tights Soft 20 Denier Black Large 1pk","Wilko","medium",NA,"1",NA,NA,NA,0.883333333333333
"TOI","HOS","444604","Wilko Opaque Tights with Lycra 40 Denier XL 3pk","Wilko",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","HOS","444605","Wilko Opaque Tights with Lycra 60 Denier XL 3pk","Wilko",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","HOS","444606","Wilko Opaque Tights with Lycra 80 Denier XL 3pk","Wilko",NA,NA,"1",NA,NA,NA,0.825
"TOI","HOS","453254","Wilko Tights Lycra MoisturisingNatural 15Denier Medium 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453255","Wilko Tights Lycra Moisturising Finish Natural15D Large 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453256","Wilko Tights Lycra Moisturising Finish Natural15D Extra Large 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453257","Wilko Tights Lycra Moisturising Finish Black15D Medium 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453258","Wilko Matt Appearance Tights Moisturising Finish15 Denier Black 5pk L","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453259","Wilko Matt Appearance Tights Moisturising Finish15 Denier Black 5pk XL","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453260","Wilko Matt Appearance Ladder Resist Tights15 Denier Natural 5pk M","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453261","Wilko Tights Lycra Ladder Resistant Natural15D Large 5pk.","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453262","Wilko Tights Lycra Ladder Resistant Natural15D Extra Large 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453263","Wilko Tights Lycra Ladder Resistant Black15D Medium 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453264","Wilko Tights Lycra Ladder Resistant Black15D Large 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453265","Wilko Tights Lycra Ladder Resistant Black15D Extra Large 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453266","Wilko Knee High Lycra® Moisturising Finish Natural15D 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453267","Wilko Knee High Lycra® Moisturising Finish Black15D 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453268","Wilko Ankle High Lycra Moisture Finish Natural15D 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453269","Wilko Ankle High Lycra Moisturising Finish Black15D 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.825
"TOI","HOS","453270","Wilko Tights Bum Tum Thigh Shaper NaturalMedium","Wilko",NA,NA,"1",NA,NA,NA,0.825
"TOI","HOS","453271","Wilko Tights Bum Tum Thigh Shaper NaturalLarge","Wilko",NA,NA,"1",NA,NA,NA,0.825
"TOI","HOS","453272","Wilko Tights Bum Tum Thigh Shaper NaturalExtra Large","Wilko",NA,NA,"1",NA,NA,NA,0.825
"TOI","HOS","453273","Wilko Tights Bum Tum Thigh Shaper BlackMedium","Wilko",NA,NA,"1",NA,NA,NA,0.825
"TOI","HOS","453274","Wilko Tights Bum Tum Thigh Shaper BlackLarge","Wilko",NA,NA,"1",NA,NA,NA,0.825
"TOI","HOS","453275","Wilko Tights Bum Tum Thigh Shaper BlackExtra Large","Wilko",NA,NA,"1",NA,NA,NA,0.825
"TOI","HOS","453370","Wilko Assorted Design Socks 1pk","Wilko",NA,NA,"1","NYLON/ELASTANE LYCRA","No","Hand Wash Only",0.65
"TOI","HOS","453371","Wilko TFF Tights Barely Black15D Extra Large 3pk","Wilko",NA,NA,"3",NA,NA,NA,0.825
"TOI","HOS","453372","Wilko TFF Tights Honey 15D Extra Large 3pk","Wilko",NA,NA,"3",NA,NA,NA,0.825
"TOI","HOS","453373","Wilko TFF Tights Mink 15D Extra Large 3pk","Wilko",NA,NA,"3",NA,NA,NA,0.825
"TOI","HOS","453375","Wilko Taller Fuller Figure Smooth Knit TightsBarely Black XXL 3pk","Wilko",NA,NA,"3",NA,NA,NA,0.825
"TOI","HOS","453376","Wilko TFF Tights Honey 15D Extra Extra Large 3pk","Wilko",NA,NA,"3",NA,NA,NA,0.825
"TOI","HOS","453377","Wilko TFF Tights Mink 15D Extra Extra Large 3pk","Wilko",NA,NA,"3",NA,NA,NA,0.825
"TOI","HOS","51749","Wilko Tights Mink 15 Denier Regular 3pk","Wilko","Regular","Brown","3pk",NA,NA,NA,0.941666666666667
