"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"TOY","PRE","320534","Wilko Wooden Train Set","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","320546","Wilko Wooden Number Puzzle","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","320547","Wilko Wooden Farm Puzzle","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","336093","Wilko Wooden Birthday Cake","Wilko","Multi","1",NA,NA,NA,0.93
"TOY","PRE","336094","Wilko Wooden Sandwich Set","Wilko","Multi","1",NA,NA,NA,0.93
"TOY","PRE","336221","Wilko Wooden Beads","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","350450","Wilko Wooden Clock Puzzle","Wilko","Multi","1",NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","350454","Wilko Wooden Snake Letter Puzzle","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","417361","Wilko Safari Wooden Shape Train","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","417362","Wilko Safari Wooden Pull Along Bus","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","417374","Wilko Safari Wooden Puzzle","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","419486","Wilko Safari Small Beads Coaster","Wilko","Multi","1",NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","438446","Wilko Safari Wooden Stacking Hoops","Wilko","Multi","1",NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","438447","Wilko Safari Wood Hammer and Peg Set","Wilko","Multi","1","Wood","No","12 Months +",0.65
"TOY","PRE","456488","Wilko Safari Learn to Tie Wooden Shoe","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","456489","Wilko Safari Wooden Skittles Set","Wilko","Multi","1","wood","No","3 Years +",0.65
"TOY","PRE","456490","Wilko Safari Walker with Bricks","Wilko","Multi","1",NA,NA,"12 Months +",0.941666666666667
"TOY","PRE","456494","Wilko Alphabet Matching Cards Game","Wilko","Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","456496","Wilko Wooden Pots and Pans Set","Wilko","Multi","1",NA,NA,NA,0.93
