"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Capacity","DQ Score"
"KIT","MSP","450357","Curver Knit Laundry Basket 40L","Curver","59x39x44cm","White",NA,"Polypropylene","40 Litre",0.95
"KIT","MSP","450358","Curver Basket Round My Style 30 Litre","Curver","39x39x37cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450359","Curver Waste Paper Basket My Style 13L","Curver","29x29x33cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450360","Curver Basket Round Knit 30L","Curver","39x39x33cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450362","Curver Basket XL My Style 30L","Curver","43x34x29cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450363","Curver Basket Rectangle Knit 3 Litre","Curver","25x18x14cm","White","1","Polypropylene","3 Litre",0.95
"KIT","MSP","450364","Curver Basket Rectangle Knit 8 Litre","Curver","30x22x17cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450365","Curver Basket Rectangular Knit 19 Litre","Curver","40x28x23cm","Cream","1","Polypropylene",NA,0.95
"KIT","STO","434658","Curver Basket 18L","Curver","30 x 36 x 22 cm","Cream","1","Plastic",NA,0.95
"KIT","STO","436174","Curver Basket 8L","Curver","10.5x19x25.4cm","Cream","1","Plastic",NA,0.95
"KIT","STO","436175","Curver Basket 13L","Curver","29x35x13.5cm",NA,"1","Polypropelyne",NA,0.941666666666667
