"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Power","Age","DQ Score"
"TOY","ACT","408666","Marvel Avengers Titan Hero Series 12in FigureAssortment","Avengers","Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","315170","Nerf N Strike Jolt Ex-1","Nerf","Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","330544","Nerf N-Strike Elite Firestrike","Nerf","Multi","1",NA,NA,"Battery","8 Years",1
"TOY","ACT","330551","Nerf N Strike Strongarm Blaster","Nerf","Multi","1",NA,NA,NA,"8 Years +",0.941666666666667
"TOY","ACT","401371","Spiderman Titan Hero Series Figure 12in","Spiderman","Multi","1","Plastic","No",NA,"3 Years +",0.65
"TOY","ACT","421593","Star Wars Hero Series Figure Assorted","Star Wars","Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","419732","Transformers Robots in Disguise Figures Assortment","Transformers","Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","ACT","438827","Transformers Rescue Bots Assorted","Transformers","Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","268008","Classic Monopoly","Hasbro","Multi","1",NA,NA,NA,"8 Years +",0.891666666666667
"TOY","FAN","428516","Disney Princess Classic Fashion Doll Assorted","Disney","Multi","1",NA,NA,NA,"3 Years +",0.9
"TOY","FAN","449840","Disney Princess Small Doll Assorted","Disney","Multi","1",NA,NA,NA,"3 Years +",0.9
"TOY","FAN","448276","Disney Frozen Doll Assorted","Disney Frozen","Multi","1",NA,NA,NA,"3 Years +",0.9
"TOY","FAN","448277","My Little Pony Blind Bag","My Little Pony","Multi","1",NA,NA,NA,"3 Years +",0.9
"TOY","FAN","440594","Trolls Small Blind Bag","Trolls","Multi","1",NA,NA,NA,"5 Years +",0.85
"TOY","PRE","284458","Play Doh Classic Colours 4pk","Play Doh","Multi","4",NA,NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","298244","Play Doh Can Assortment","Play Doh","Multi","1",NA,NA,NA,"2 Years +",0.941666666666667
