"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Model Number","DQ Score"
"DEC","PRP","187335","Wilko Decorator Filling Tool","Wilko","1 Pack",NA,"1",NA,NA,NA,1
"DEC","PRP","287568","Wilko Sanding Block Cork","Wilko","11 x 6.2 x 3.1cm","Yellow","1pk","Cork",NA,NA,0.95
"DEC","PRP","287953","Wilko Mini Brush Set Abrasive","Wilko","Mini",NA,"1","Wire, Brass, Nylon",NA,NA,0.9
"DEC","PRP","287954","Wilko Wire Brush Secure Comfort Grip Handle","Wilko","1 Pack",NA,"1",NA,NA,NA,0.85
"DEC","PRP","343145","Wilko Steel Wool  Assorted 3pk","Wilko",NA,"Silver","3pk","Steel",NA,NA,0.9
"DEC","PRP","343146","Wilko 5 In 1 Tool","Wilko",NA,"Red","1",NA,NA,NA,0.85
"DEC","PRP","343147","Wilko Putty Knife","Wilko",NA,"Red","1",NA,NA,NA,0.85
"DEC","PRP","343148","Wilko Combination Shavehook","Wilko",NA,"Red","1",NA,NA,NA,0.85
"DEC","PRP","343149","Wilko Chisel Knife 38mm","Wilko","38mm","Red","1",NA,NA,NA,0.9
"DEC","PRP","343150","Wilko Flexible Filling Knife 50mm","Wilko","50mm","Red","1",NA,NA,NA,0.9
"DEC","PRP","343151","Wilko Stiff Scraper 75mm","Wilko","75mm","Red","1",NA,NA,NA,0.9
"DEC","PRP","343152","Wilko Stiff Scraper 100mm","Wilko","100mm","Red","1",NA,NA,NA,0.9
"DEC","PRP","343300","Wilko Filling Blades 4pk","Wilko","4 Pack","Red","4pk",NA,NA,NA,0.9
"DEC","PRP","343652","Wilko Glass Scraper","Wilko","1 Pack",NA,"1",NA,NA,NA,0.85
"DEC","PRP","343653","Wilko Replacement Blade 39mm 5pk","Wilko","39mm","Silver","5pcs",NA,NA,NA,0.9
"DEC","PRP","343654","Wilko Glass And Tile Scraper","Wilko","1 Pack","Red","1",NA,NA,NA,0.9
"DEC","PRP","343655","Wilko Replacement Blade 89mm 5pk","Wilko","89mm","Silver","5pcs",NA,NA,NA,0.9
"DEC","PRP","343299","Wilko Best Wire Brush With Scraper","Wilko Best","1 Pack","Red","1",NA,NA,NA,0.9
"DEC","PRP","287952","Wilko General Purpose Wire Brush","Wilko Functional","1 Pack",NA,NA,NA,NA,NA,0.75
"DEC","PRP","309327","Wilko Decorating Tool Set","Wilko Functional",NA,"Black","3pk",NA,NA,NA,0.8
"DEC","PRP","343298","Wilko Functional Filling Knives","Wilko Functional",NA,"Yellow","3pk",NA,NA,NA,0.85
"DEC","ROL","343301","Wilko Paint Shield","Wilko","1 Pack","Red","1",NA,NA,NA,0.941666666666667
"DEC","TIL","343867","Wilko Metal Caulk Gun 9in","Wilko","9in",NA,NA,NA,NA,NA,0.9125
"DEC","TIL","427805","Wilko Heavy Duty Sealant Gun 11in","Wilko","11in",NA,"1",NA,NA,NA,1
"DIY","BRA","438302","Wilko Folding Sack Truck","Wilko","Close Size: 39x5.4x71.5cm, Open Size: 40x37.5x96cm","Black",NA,"Metal and Aluminium",NA,NA,1
"DIY","BRA","438780","Wilko Rectangular Furniture Dolly","Wilko","Transportation Board 575x300x145mm",NA,"1",NA,NA,NA,0.93
"DIY","MOT","184173","Wilko Telescopic Wheel Nut Wrench","Wilko","One Size",NA,"1",NA,"No",NA,0.65
"DIY","TOO","209030","Wilko Warding File Set of 6","Wilko",NA,NA,"6pcs",NA,NA,NA,0.9125
"DIY","TOO","209031","Wilko Scratch Awl 7in","Wilko","7in",NA,"1",NA,NA,NA,1
"DIY","TOO","209036","Wilko Contour Gauge 5in","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","209037","Wilko Craftsman Plane  245 x 50mm","Wilko","245x50mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209039","Wilko 4 Way Crimping Tool","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","209040","Wilko Terminals 50pk","Wilko",NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","TOO","209043","Wilko Rubber Mallet 454g","Wilko","16oz",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209045","Wilko Wooden Mallet 4in","Wilko","4in",NA,"1",NA,NA,NA,1
"DIY","TOO","209091","Wilko Brick Trowel 10in","Wilko","10in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209093","Wilko Ball Pein Hammer 8oz","Wilko","8oz",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209097","Wilko Long Nose Pliers 175mm","Wilko","7in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209098","Wilko Combination Pliers 175mm","Wilko","7in",NA,"1",NA,NA,NA,1
"DIY","TOO","209099","Wilko Diagonal Pliers 150mm","Wilko","6in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209105","Wilko Straight Cut Aviation Snips 10in","Wilko","10in",NA,"1",NA,NA,NA,1
"DIY","TOO","209112","Wilko Heavy Duty Hand Riveter Kit","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","209119","Wilko Locking Wrench Drop Forged 254mm","Wilko","254mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209122","Wilko Carpenters Pincers Drop Forged 6in","Wilko","6in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209124","Wilko Polishing Bonnet 5in","Wilko","5in",NA,NA,NA,NA,NA,0.86
"DIY","TOO","209143","Wilko Pointing Trowel 152mm","Wilko","152mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209148","Wilko Plastering Trowel 280mm","Wilko","280mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209172","Wilko Carpenters Hammer 8oz","Wilko","8oz",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209173","Wilko Pin Hammer 4oz","Wilko","4oz",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209181","Wilko Combination Square 305mm","Wilko","305mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209185","Wilko Carbon Steel Countersink Bit 0.25in","Wilko","0.25in",NA,NA,NA,NA,NA,0.86
"DIY","TOO","209193","Wilko Mitre Block Plastic Medium 305 x 140mm","Wilko","305x140mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209197","Wilko Screwdriver Set 6 Piece","Wilko",NA,NA,"6pcs",NA,NA,NA,0.9125
"DIY","TOO","209227","Jigsaw Blades Fine Cutting 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,0.81
"DIY","TOO","209273","Wilko Tin Snips 245mm","Wilko","245mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209289","Wilko Double Ended Power Bit Set 75mm 2pk","Wilko","75mm",NA,NA,NA,NA,NA,0.86
"DIY","TOO","209290","Wilko Jigsaw Blade 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,0.86
"DIY","TOO","209292","Wilko Rubber Backing Pad 123mm","Wilko","123mm",NA,NA,NA,NA,NA,0.86
"DIY","TOO","209293","Wilko Power Bit Set 5pcs","Wilko","90mm",NA,NA,NA,NA,NA,0.86
"DIY","TOO","209295","Wilko Power Screwdriver Bit Set With Dispenser 10Piece","Wilko","50mm",NA,"10",NA,NA,NA,0.93
"DIY","TOO","209298","Wilko Bradawl 140mm","Wilko","140mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209299","Wilko Gimlet 8mm","Wilko","88mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209300","Wilko Diamond Tipped Glass Cutter","Wilko",NA,NA,"1",NA,NA,NA,0.86
"DIY","TOO","209301","Wilko Sure-Shape Plane 10in","Wilko","10in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209302","Wilko Sure-Shape Pocket Plane 140mm","Wilko","140mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209303","Wilko Sure Shape Plain Blade 254mm","Wilko","254mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209304","Wilko Sure Shape Pocket Plane Blade 140mm","Wilko","140mm",NA,NA,NA,NA,NA,0.9125
