"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Model Number","DQ Score"
"HOM","COO","219351","Wilko Pot Pourri Sweet Strawberry and Red Fruits","Wilko","Large",NA,NA,NA,"No",NA,0.883333333333333
"HOM","COO","275629","Wilko Pot Pourri Vanilla Pod","Wilko","Pack",NA,NA,NA,"No",NA,0.883333333333333
"HOM","COO","292919","Wilko Reed Diffuser Vanilla 70ml","Wilko",NA,NA,NA,NA,NA,NA,1
"HOM","COO","292921","Wilko Reed Diffuser Red Fruit 70ml","Wilko",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327857","Wilko Reed Diffuser Lavender and Rose 100ml","Wilko","100ml","Clear",NA,NA,"No",NA,0.941666666666667
"HOM","COO","327863","Wilko Pot Pourri Wild Lavender and Rose","Wilko","Pack","Purple",NA,NA,"No",NA,0.941666666666667
"HOM","COO","341144","Wilko Reed Diffuser Crisp Melon and Rhubarb 70ml","Wilko","70ml",NA,"1",NA,NA,NA,1
"HOM","COO","341145","Wilko Reed Diffuser Tropical Passion Fruit andBlueberry 70ml","Wilko","70ml",NA,"1",NA,NA,NA,1
"HOM","COO","341146","Wilko Reed Diffuser Cotton Fresh 70ml","Wilko","70ml",NA,"1",NA,NA,NA,1
"HOM","COO","341148","Wilko Pot Pourri Apple","Wilko",NA,"Green",NA,NA,"No",NA,0.883333333333333
"HOM","COO","341149","Wilko Pot Pourri Tropical Passion Fruit andBlueberry","Wilko",NA,"Brown","1",NA,NA,NA,0.93
"HOM","COO","341150","Wilko Pot Pourri Fresh Cotton and Lily","Wilko",NA,"Blue",NA,NA,"No",NA,0.883333333333333
"HOM","COO","427130","Wilko Oasis Metal Cage Bird Pot Pourri","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427131","Wilko Pot Pourri Melon and Rhubarb Small","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427132","Wilko Oasis Decorative Balls","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427133","Wilko Neutral Decorative Balls","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427134","Wilko Pot Pourri Wild Lavender and Rose","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427135","Wilko Pot Pourri Sweet Strawberry and Red FruitsSmall","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427136","Wilko Red Decorative Balls","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427137","Wilko Incense Burner Ceramic Owl White","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427167","Wilko Insense Oil Fragrance Sweet Strawberry andRed Fruits","Wilko",NA,NA,NA,NA,NA,NA,1
"HOM","COO","427861","Wilko Room Spray Warm Vanilla Pod","Wilko",NA,NA,NA,NA,NA,NA,1
"HOM","COO","427863","Wilko Insense Oil Fragrance Warm Vanilla Pod","Wilko",NA,NA,NA,NA,NA,NA,1
"HOM","COO","439365","Wilko Pot Pourri Cinnamon Spice","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","439366","Wilko Pot Pourri Silver Sparkling Winter","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","446850","Wilko Ceramic Diffuser 100ml","Wilko","100ml",NA,NA,NA,"No",NA,0.883333333333333
"XMD","PAR","438674","Wilko Christmas Taper Candles Red 2pk","Wilko","25.6 x 4.1 x 2.7cm","Red","2","Parrafin Wax","No","438674",0.65
"XMD","PAR","438675","Wilko Christmas Taper Candles Gold 2pk","Wilko","25.6 x 4.1 x 2.7cm","Gold","2","Parrafin Wax","No","438675",0.65
"XMD","PAR","438676","Wilko Copper Taper Candles 2pk","Wilko","25.6x4.1x2.7cm","Metal","2","Parrafin wax","No","438676",0.65
"XMD","PAR","438677","Wilko Christmas Taper Candles Silver 2pk","Wilko","25.6 x 4.1 x 2.7cm","Silver","2","Parrafin Wax","No","438677",0.65
