"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Coverage","DQ Score"
"DEC","FIL","342036","Wilko Damp Seal   White 0.75L","Wilko","0.75L",NA,NA,NA,NA,NA,0.9125
"DEC","WOO","141519","Wilko Gloss Yacht Varnish Exterior Clear 750ml","Wilko","750ml",NA,NA,NA,NA,"12m²",0.883333333333333
"DEC","WOO","141543","Wilko Gloss Yacht Varnish Exterior Clear 250ml","Wilko","250ml",NA,NA,NA,NA,"4m²",0.883333333333333
"DEC","WOO","210414","Wilko Satin Outdoor Varnish Clear 250ml","Wilko","250ml",NA,NA,NA,NA,"4m²",0.883333333333333
"DEC","WOO","210415","Wilko Satin Outdoor Varnish Clear 750ml","Wilko","750ml",NA,"1",NA,NA,NA,0.883333333333333
"DEC","WOO","210416","Wilko Gloss Outdoor Varnish Clear 250ml","Wilko","250ml",NA,"1",NA,NA,NA,0.883333333333333
"DEC","WOO","210417","Wilko Gloss Outdoor Varnish Clear 750ml","Wilko","750ml",NA,"1",NA,NA,NA,0.883333333333333
"DEC","WOO","210485","Wilko Satin 5 Year Woodstain Mahogany 750ml","Wilko","750ml",NA,"1",NA,NA,"9m²",0.941666666666667
"DEC","WOO","210487","Wilko Satin 5 Year Woodstain Rustic Oak 750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","210488","Wilko Satin 5 Year Woodstain Antique Pine 750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","210489","Wilko Satin 5 Year Woodstain Natural Teak 750ml","Wilko","750ml",NA,"1",NA,NA,"9m²",0.941666666666667
"DEC","WOO","210490","Wilko Satin 5 Year Woodstain Walnut 750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","210491","Wilko Satin 5 Year Woodstain Medium Oak 750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","289159","Wilko Satin Yacht Varnish Exterior Clear 750ml","Wilko","750ml",NA,NA,NA,NA,"12m²",0.883333333333333
"DEC","WOO","314976","Wilko Gloss Quick Dry Ultra Tough Varnish Clear 250ml","Wilko","250ml",NA,"1",NA,NA,"3m²",0.941666666666667
"DEC","WOO","315017","Wilko Matt Quick Dry Ultra Tough Varnish Clear 250ml","Wilko","250ml",NA,"1",NA,NA,"3m²",0.941666666666667
"DEC","WOO","315018","Wilko Satin Quick Dry Ultra Tough Varnish Clear 250ml","Wilko","250ml",NA,NA,NA,NA,"3m²",0.883333333333333
"DEC","WOO","315019","Wilko Gloss Quick Dry Ultra Tough Varnish Clear 750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","315020","Wilko Matt Quick Dry Ultra Tough Varnish Clear 750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","315021","Wilko Satin Quick Dry Ultra Tough Varnish Clear 750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","315022","Wilko Gloss Quick Dry Ultra Tough Varnish AntiquePine750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","315024","Wilko Gloss Quick Dry Ultra Tough Varnish Dark Oak750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
"DEC","WOO","315025","Wilko Gloss Quick Dry Ultra Tough Varnish Mahogany750ml","Wilko","750ml","Red","1",NA,NA,"9m²",1
"DEC","WOO","315026","Wilko Gloss Quick Dry Ultra Tough Varnish Medium Oak 750ml","Wilko","750ml",NA,NA,NA,NA,"9m²",0.883333333333333
