"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","DQ Score"
"GAR","TRA","446060","Wilko Pop Up Planter","Wilko","50cm x 95cm","1","Iron Oxford Fabric",0.941666666666667
"GAR","TRA","446062","Wilko Angled Raised Bed","Wilko","45cm x 50cm x 75cm","1","Iron Oxford Fabric PP",0.941666666666667
"GAR","TRA","446063","Wilko Modular Raised Bed","Wilko","50cm x 45cm","1","Iron Oxford Fabric PP",0.941666666666667
"GAR","TRA","446064","Wilko Modular Raised Bed Large","Wilko","50cm x 28cm","1","Iron Oxford Fabric PP",0.941666666666667
