"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Model Number","DQ Score"
"DIY","ELE","342913","Wilko Round Cable Clip White 8mm 20pk","Wilko","8mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","342914","Wilko Round Cable Clip White 9mm 20pk","Wilko","9mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","343003","Wilko Round Cable Clip Black 9mm 20pk","Wilko","9mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","343004","Wilko Coaxial Cable Clip White 7mm 20pk","Wilko",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","ELE","343010","Wilko Flat Cable Clip  0.75mm White 20pk","Wilko","0.75mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","343011","Wilko Shotgun Cable Clip Black 20pk","Wilko",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","ELE","343014","Wilko White Tie Mounts 25 x 25mm 20pk","Wilko","25mmx25mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","343015","Wilko Black Tie Mounts 25 x 25mm 20pk","Wilko","25mmx25mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","343020","Wilko Spiral Cable Tidy 1.5m","Wilko","1.5m",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","343021","Wilko Brass Lampholder","Wilko",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","ELE","343022","Wilko Nickel Effect Lampholder","Wilko",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","ELE","343023","Wilko Foot Switch 2amp","Wilko","2AMP",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","343058","Wilko 3in1 Split USB Adaptor","Wilko",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","ELE","343062","Wilko 4 Way Plug  Adapter","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"DIY","ELE","343066","Wilko Remote Control  Wall Plugs","Wilko",NA,"White","1",NA,NA,NA,NA,0.883333333333333
"DIY","ELE","343074","Wilko Cable H Frame","Wilko",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","ELE","344915","Wilko 3 amp terminal connector strip 12Way","Wilko","3AMP",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","51992","Wilko Terminal Block 12 Way 30amp","Wilko","30AMP",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","5356140","Wilko Terminal Block 12 Way 15amp","Wilko","15AMP",NA,NA,NA,NA,"Mains",NA,0.883333333333333
"DIY","ELE","5356241","Wilko Terminal Block 12 Way 5amp","Wilko","5AMP",NA,NA,NA,NA,"Mains",NA,0.883333333333333
"DIY","ELE","5376648","Wilko Earth Sleeving Green and Yellow 1m","Wilko","1m",NA,NA,NA,NA,NA,NA,0.825
"DIY","ELE","5379640","Corelectrics Mains Tester 125mm","Wilko",NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"DIY","ELE","5380445","Wilko Mini Trunking White 2m x 25mm x 16mm","Wilko","2m",NA,NA,NA,NA,NA,NA,0.825
"DIY","FIX","343236","Cable Tie Mixed Tub 200pk","Wilko",NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"DIY","FIX","345576","Funky Key Covers 5pk","Wilko",NA,NA,"1",NA,NA,NA,NA,0.81
"DIY","MOT","157566","Wilko Wheel Trim Ties 10pk","Wilko","295m","Clear","10pk",NA,NA,NA,NA,0.941666666666667
"DIY","MOT","344967","Wilko USB Car Charger Single Port","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"DIY","MOT","344984","Wilko USB Car Charger Double Port","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"DIY","MOT","344996","Wilko 5 Charger to USB","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"DIY","MOT","344998","Wilko Micro USB Charger to USB","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"DIY","MOT","344999","Wilko Split Multi Lead Charger to USB","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"SBK","COM","428846","Micro Docking Station","Wilko","Micro USB Docking Station 82cm x 58cm",NA,NA,NA,NA,NA,"WKSMDS846",0.833333333333333
"SBK","COM","428851","Wilko Tempered Glass Screen Protector Suitable ForiPhone 6+","Wilko","Tempered Glass Screen Protector iPhone 6 + 15x6.3",NA,"1","Tempered Glass","No",NA,"WKSTGS851",0.65
"SBK","COM","428853","Wilko Tempered Glass Screen Protector Suitable ForSamsung S5","Wilko","Tempered Glass Screen Protector Samsung S5 13.8cm",NA,"1","Tempered Glass","No",NA,"WKSTGS853",0.65
"SBK","COO","451236","Wilko Unearthed Lightning USB Cable 1m","Wilko","1m","Gold","1","Metal, Flex","No",NA,"WKSIC236",0.65
"SBK","COO","451237","Wilko Unearthed Micro USB Cable 1m","Wilko","1m","Green","1","Metal, Flex","No",NA,"WKSMC237",0.65
