"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"FOO","XMS","446936","Crunchy Amaretti Gift Tin 175g","Wilko","175g","1","No",0.6
"FOO","XMS","446937","Soft Amaretti Gift Tin 200g","Wilko","200g","1","No",0.6
