"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"KIT","BAK","434391","Wilko Wooden Salt and Pepper Mill","Wilko","6.3cm x 6.3cm x 22cm","2",NA,0.93
"KIT","DIN","407968","Wilko Dinner Plate With Love Kitchen Range","Wilko",NA,NA,NA,1
"KIT","DIN","407969","Wilko Side Plate With Love Kitchen Range","Wilko",NA,NA,NA,1
"KIT","DIN","407970","Wilko Bowl With Love Kitchen Range","Wilko",NA,NA,NA,1
"KIT","DIN","407971","Wilko Cup and Saucer With Love Kitchen Range","Wilko",NA,NA,NA,1
"KIT","DIN","407972","Wilko Mug With Love Kitchen Range","Wilko",NA,NA,NA,1
"KIT","DIN","407973","Wilko Tray With Love Kitchen Range Large","Wilko",NA,NA,NA,1
"KIT","DIN","407974","Wilko Glass Worktop Saver With Love Kitchen Range","Wilko",NA,NA,NA,1
"KIT","DIN","408250","Wilko Dinner Set With Love Kitchen Range 12 Piece","Wilko",NA,NA,NA,1
"KIT","DIN","435824","Wilko Salt and Pepper Mill Set Copper Effect","Wilko","12.5cm x 6cm x 16.5cm","2",NA,0.93
"KIT","DIN","445513","Wilko Large Tray Oriental Blossom","Wilko",NA,NA,NA,1
"KIT","DIN","445514","Wilko Worktop Saver Oriental Blossom","Wilko",NA,NA,NA,1
"KIT","DIN","445517","Wilko Large Tray Mediterranean Style","Wilko",NA,NA,NA,1
"KIT","DIN","445518","Wilko Worktop Saver Mediterranean Style","Wilko",NA,NA,NA,1
"KIT","DIN","447366","Wilko Dinner Set Flutter 12pcs","Wilko",NA,"12 Piece","No",0.65
"KIT","DIN","447372","Wilko Flutter Dinner Plate","Wilko",NA,"1","No",0.65
"KIT","DIN","447373","Wilko Flutter Side Plate","Wilko",NA,"1","No",0.65
"KIT","DIN","447374","Wilko Flutter Bowl","Wilko",NA,"1","No",0.65
"KIT","DIN","447375","Wilko Flutter Mug","Wilko",NA,"1","No",0.65
"KIT","DIN","447376","Wilko Flutter Cup and Saucer","Wilko",NA,"1","No",0.65
