"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","Age","Model Number","DQ Score"
"SBK","ADU","152839","Wilko Let's Create Sketch Pad A3 80gsm 30 Sheets","Wilko","A3","White","30s",NA,NA,NA,NA,NA,NA,1
"SBK","ADU","253381","Wilko Square Canvasses Small 4pk 20 x 20cm","Wilko","20x20cm","White","4pk",NA,NA,NA,NA,NA,NA,1
"SBK","ADU","279077","Wilko Rectangle Canvasses 3pk 20 x 38cm","Wilko","20x38cm","White","3pk",NA,NA,NA,NA,NA,NA,1
"SBK","ADU","300142","Wilko Let's Create Acrylic Paints Assorted Colours12pk 12ml","Wilko",NA,"Multi","12pk",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","300151","Wilko Canvasses Assorted Sizes 3pk","Wilko",NA,"White","3pk",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","317322","Wilko Let's Create Watercolour Paint Tablets withBrush","Wilko",NA,NA,"13pk",NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","317369","Wilko Wooden Mannequin 8in","Wilko",NA,"Wood","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","319538","Wilko Let's Create Metallic Paint Copper 75ml","Wilko","75ml","Metal",NA,NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","319540","Wilko Let's Create Metallic Paint Silver 75ml","Wilko","75ml","Silver",NA,NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","319542","Wilko Let's Create Metallic Paint Gold 75ml","Wilko","75ml","Gold","1",NA,NA,NA,NA,NA,NA,1
"SBK","ADU","331607","Wilko Watercolour Paints Assortment x 12 x 12ml","Wilko","12ml","Multi","12pk",NA,NA,NA,NA,NA,NA,1
"SBK","ADU","339086","Wilko Let's Create Artist's Brushes Assorted Styles 12pk","Wilko",NA,NA,"12pk",NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","339087","Wilko Let's Create Artist's Brushes Assorted Styles 25pk","Wilko",NA,NA,"25pk",NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","415355","Wilko Let's Create Acrylic Paint White 200ml","Wilko","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415356","Wilko Let's Create Acrylic Paint Black 200ml","Wilko","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415357","Wilko Let's Create Acrylic Paint Burnt Umber 200ml","Wilko","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415358","Wilko Let's Create Acrylic Paint Ultramarine Blue200ml","Wilko","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415359","Wilko Let's Create Acrylic Paint Lemon Yellow 200ml","Wilko","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415360","Wilko Let's Create Acrylic Paint Cadmium Red 200ml","Wilko","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415362","Wilko Let's Create Acrylic Paint Cerulean Blue200ml","Wilko","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415363","Wilko Let's Create Acrylic Paint Crimson Red 200ml","Wilko","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415365","Wilko Let's Create Acrylic Paint Burnt Sienna 200ml","Wilko","42x30x19.5(cm)",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415366","Wilko Let's Create Acrylic Paint Viridian 200ml","Wilko","42x30x19.5(cm)",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415367","Wilko Let's Create Acrylic Paint Rose 200ml","Wilko","42x30x19.5(cm)",NA,"1",NA,NA,NA,NA,NA,NA,0.93
