"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"SBK","ADU","433071","Wilko Let's Create Chalkboard Labels 10pk","Wilko",NA,"Multi","10",NA,NA,NA,0.93
"SBK","ADU","433072","Wilko Let's Create Blue Scrapbooking Kit 8x8inch 20 Sheets with 10 Top Loading Pages","Wilko",NA,"Multi","1",NA,NA,NA,1
"SBK","ADU","433073","Wilko Let's Create Pink Scrapbooking Kit 8x8inch 20 Sheets with 10 Top Loading Pages","Wilko",NA,"Multi","1",NA,NA,NA,1
"SBK","ADU","433074","Wilko Let's Create Cream Scrapbooking Kit 12x12inch 20 Sheets with 10 Top Loading Pages","Wilko",NA,"Multi","1","Paper","No",NA,0.65
"SBK","COO","427352","Wilko I Like Cats Revision Notes","Wilko","1.3 x 14.0 x 10.5cm",NA,"1",NA,NA,NA,1
"SBK","COO","427367","Wilko I Like Cats Exercise Books","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","COO","427376","Wilko I Like Cats Document Wallet A4","Wilko","A4",NA,"1",NA,NA,NA,0.883333333333333
"SBK","COO","427379","Wilko I Like Cats A4 Storage With Lid","Wilko",NA,NA,"1",NA,NA,NA,0.825
"SBK","COO","427383","Wilko I Like Cats Flip Notebook","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","COO","427384","Wilko I Like Cats 2 Part Notebook","Wilko","A5",NA,"1",NA,NA,NA,1
"SBK","COO","427386","Wilko I Like Cats Plans And Ideas","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","COO","427390","Wilko I Like Cats A4 Project Book","Wilko","A4",NA,"1",NA,NA,NA,1
"SBK","COO","427391","Wilko I Like Cats A4 Notebook","Wilko","A4",NA,"1",NA,NA,NA,1
"SBK","COO","445277","Wilko Enterprising Britain A4 Wiro80 Sheets 80GSM","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445526","Wilko Enterprising Britain A5 Chunky FabricNotebook","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","450779","Wilko Unearthed Button Wallet Block Colour A4","Wilko","A4","Multi","1","Plastic, PP","No",NA,0.65
"SBK","COO","450780","Wilko Unearthed Life Planner A5","Wilko","A5","Multi","1","Paper, PU","No",NA,0.65
"SBK","COO","450787","Wilko Unearthed Exercise Book A5 40 Sheets","Wilko","A5","Multi","1","Paper","No",NA,0.65
"SBK","COO","450790","Wilko Unearthed Beaded Fabric Notebook A580 sheets","Wilko","A5","Multi","1","Paper, Greyboard","No",NA,0.65
"SBK","COO","450791","Wilko Unearthed Notebook Wiro Basic A5 80 Sheets","Wilko","A5","Multi","1","Paper, Greyboard","No",NA,0.65
"SBK","COO","450792","Wilko Unearthed Jotter Notebook","Wilko","13.5 x 7.5cm","Multi","1","Paper","No",NA,0.65
"SBK","COO","450793","Wilko Unearthed Storage Box with Lid","Wilko","34 x 27.5 x 10cm","Multi","1","Paper, Greyboard","No",NA,0.65
"SBK","COO","450794","Wilko Unearthed Revision Notes 75 Sheets","Wilko","14 x 10.5cm","Multi","1","Paper","No",NA,0.65
"SBK","COO","450795","Wilko Unearthed Top Bound Jotter A5 80 Sheets","Wilko","A5","Multi","1","Paper","No",NA,0.65
"SBK","COO","450797","Wilko Unearthed Project Book A5 100 Sheets","Wilko","A5","Multi","1","Paper, Greyboard","No",NA,0.65
